cost        CG2        HBCS        ScaleStar        OPT
1        914        961.18        961.18        864.7
2        713.76        864.98        715.38        657.72
3        578.89        943.75        624.86        549.35
4        499.78        783.17        524.98        499.78
5        451.54        765.96        453.16        428.08
6        421.36        550.48        422.98        394.79
7        380.21        430.07        405.77        372.71
8        364.13        369.86        365.75        352.65
9        349.04        345.74        365.75        336.42
10        328.67        337.7        365.75        320.63
11        320.63        328.22        365.75        310.04
12        311.37        328.22        365.75        299.51
13        299.51        318.48        365.75        290.96
14        292.99        318.48        365.75        284.38
15        288.17        303.39        365.75        277.21
16        283.38        303.39        365.75        272.17
17        275.63        298.61        365.75        267.18
18        272.41        298.61        365.75        264.24
19        266.9        298.61        365.75        264.24
20        264.24        264.24        365.75        264.24
