cost        CG2        HBCS        ScaleStar        OPT
1        1306.23        1310.05        1310.05        1291.78
2        971.11        1134.74        973.03        971.11
3        835.32        976.85        826.82        826.82
4        718.02        1060.15        726.74        718.02
5        621.13        855.51        621.76        621.13
6        578.13        644.64        582.66        578.13
7        536.76        539.67        539.67        536.76
8        502.8        506.84        507.79        502.8
9        481.3        490.46        507.79        481.3
10        465.61        472.48        507.79        461.75
11        446.13        453.8        507.79        446.13
12        433.13        448        507.79        430.83
13        420.82        448        507.79        420.67
14        410.56        443.32        507.79        409.14
15        400.59        440.2        507.79        400.59
16        392.72        440.2        507.79        392.72
17        387.5        440.2        507.79        384.91
18        379.7        425.64        507.79        378.58
19        372.78        419.75        507.79        372.78
20        366.85        366.85        507.79        366.85
