cost        CG2        HBCS        ScaleStar        OPT
1        1107.45        1211.79        1147.4        1105.75
2        827.38        1033.08        846.29        827.38
3        735.58        1003.82        733.03        728.99
4        621.25        840.2        632.72        621.25
5        541.42        778.71        541.42        541.42
6        504.52        564.02        503.67        502.32
7        466.41        473.07        473.07        466.41
8        438.32        442.75        442.75        438.32
9        419.87        427.59        442.75        418.77
10        400.99        410.78        442.75        400.96
11        386.33        404.71        442.75        386.33
12        375.34        400.38        442.75        375.34
13        366.48        392.8        442.75        365.51
14        356.73        388.55        442.75        356.73
15        348.9        373.93        442.75        348.84
16        341.73        373.93        442.75        341.73
17        335.22        373.93        442.75        335.22
18        330.89        373.93        442.75        329.59
19        325.45        373.93        442.75        325.26
20        319.86        319.86        442.75        319.86
