cost        CG2        HBCS        ScaleStar        OPT
1        852.1        1010.2        862.72        852.1
2        637.05        767.24        649.52        637.05
3        559.63        794.16        556.94        556.94
4        479.52        664.68        491.2        475.27
5        416.05        617.08        416.62        416.05
6        386.65        440.7        387.43        386.65
7        359.95        362.71        366.11        358.53
8        337.28        396.82        341.25        337.28
9        324.61        348.56        341.25        322.87
10        309.16        343.59        341.25        309.16
11        299.36        319.64        341.25        298.13
12        290.31        307.4        341.25        289.63
13        282.03        295.38        341.25        281.91
14        274.71        288.45        341.25        274.71
15        269.73        288.45        341.25        268.83
16        264.11        288.45        341.25        263.35
17        258.27        279.81        341.25        258.27
18        254.72        279.81        341.25        254.21
19        250.7        279.81        341.25        250.22
20        246.54        246.54        341.25        246.54
