cost        CG2        HBCS        ScaleStar        OPT
1        1349.51        1564.35        1369.13        1317.85
2        996.83        1118.38        996.83        996.83
3        867.14        1192.05        867.14        862.04
4        740.91        974.59        738.79        738.79
5        642.45        854.95        642.45        642.45
6        604.56        806.36        601.65        599.46
7        556.18        558.38        558.38        556.18
8        522.53        524.6        527.92        522.53
9        503.05        508.78        527.92        500.68
10        481        485.93        527.92        479.82
11        462.03        477.1        527.92        461.95
12        449.38        473.17        527.92        448.92
13        436.19        456.91        527.92        436.19
14        424.35        456.91        527.92        424.35
15        416.69        456.91        527.92        416.38
16        407.51        456.91        527.92        407.51
17        399.71        456.91        527.92        399.71
18        394.11        435.5        527.92        393.82
19        388.95        432.27        527.92        387.09
20        381.39        381.39        527.92        381.39
