cost        CG2        HBCS        ScaleStar        OPT
1        1258.99        1264.8        1264.8        1258.99
2        927.78        1177.68        934.58        926.42
3        775.84        1078.51        776.47        762.24
4        670.86        1049.47        682.97        670.86
5        590.96        796.17        597.76        573.32
6        542.09        765        564.19        533.52
7        505.33        594.58        536        499.09
8        475.78        496.05        480.96        464.49
9        461.26        467.64        480.96        447.16
10        435.87        444.92        480.96        422.56
11        421.2        439.24        480.96        411.58
12        410.93        435.18        480.96        399.13
13        396.86        421.08        480.96        386.61
14        385.96        413.09        480.96        379.65
15        380.15        413.09        480.96        369.48
16        370.39        413.09        480.96        363.51
17        363.51        410.83        480.96        356.29
18        359.36        396.31        480.96        351.5
19        355.3        396.31        480.96        347.47
20        347.47        347.47        480.96        347.47
