cost        CG2        HBCS        ScaleStar        OPT
1        1303.22        1330.85        1330.85        1303.22
2        976.19        1239.69        976.19        976.19
3        849.11        1014.01        865.26        849.11
4        722.04        944.31        749.03        722.04
5        640.86        902.38        644.69        640.86
6        592.48        664.73        595.32        592.41
7        556.91        556.57        556.57        554.3
8        517.97        521.79        521.79        517.97
9        494.06        504.4        521.79        494.06
10        475.61        493.97        521.79        474.67
11        455.97        478.26        521.79        455.97
12        442.75        465.73        521.79        442.47
13        431.1        460.76        521.79        430.85
14        419.65        450.42        521.79        419.65
15        412.15        450.42        521.79        410.41
16        402.71        436.07        521.79        402.71
17        394.52        436.07        521.79        394.52
18        389.56        436.07        521.79        388.7
19        382.97        436.07        521.79        382.96
20        376.97        376.97        521.79        376.97
