cost        CG2        HBCS        ScaleStar        OPT
1        1572.25        1587.88        1512.65        1451.45
2        1077.45        1341.38        1081.28        1077.45
3        946.98        1247.98        955.05        911.7
4        862.93        1055.31        822.45        808
5        724.28        1167.08        724.28        701.75
6        656.98        733.58        667.18        656.98
7        625.21        713.65        643.38        610.66
8        582.75        582.75        582.75        577.01
9        549.1        566.39        582.75        549.1
10        530.79        550.03        582.75        525.94
11        511.99        536.07        582.75        505.75
12        491.8        531.4        582.75        491.8
13        479.02        531.4        582.75        477.9
14        469.53        531.4        582.75        465.35
15        457.45        531.4        582.75        454.3
16        450.9        502.21        582.75        446.14
17        441.22        502.21        582.75        437.99
18        436.29        502.21        582.75        430.08
19        427.62        502.21        582.75        425.41
20        421.01        421.01        582.75        421.01
