cost        CG2        HBCS        ScaleStar        OPT
1        1237.25        1385.79        1290.38        1220.25
2        931.04        1161.81        931.04        931.04
3        799.5        951.44        823.87        799.5
4        690.49        1051.17        697.5        684.11
5        596.49        831.23        596.49        596.49
6        555.83        619.65        564.33        554.98
7        516.31        518.65        518.65        516.31
8        483.19        488.54        488.54        483.19
9        462.86        476.32        488.54        462.86
10        445.19        452.24        488.54        444.27
11        427.26        446.22        488.54        427.26
12        415.02        431.29        488.54        415.02
13        405.16        431.29        488.54        404.16
14        393.62        431.29        488.54        393.44
15        385.47        431.29        488.54        385.05
16        377.59        418.61        488.54        377.22
17        369.67        405.79        488.54        369.67
18        364.07        405.79        488.54        363.95
19        358.9        405.79        488.54        358.78
20        352.95        352.95        488.54        352.95
