cost        CG2        HBCS        ScaleStar        OPT
1        1078.7        1228.09        1093.58        1040.02
2        801.39        980.95        824.55        801.39
3        703.42        948.3        726.59        687.49
4        589.53        788.28        614.18        574.86
5        524.82        720.71        527.26        517.91
6        485.26        542.42        494.61        478.77
7        447.29        455.51        455.51        442.4
8        425.94        428.17        428.17        418.6
9        407.93        414.5        428.17        399.41
10        388.61        406.29        428.17        383.29
11        374.71        388.39        428.17        368.72
12        363.94        377.37        428.17        358.18
13        352.44        377.37        428.17        348.27
14        343.6        361.04        428.17        339.92
15        337.47        361.04        428.17        332.5
16        330.13        361.04        428.17        325.16
17        323.49        361.04        428.17        319.93
18        319.52        358.6        428.17        314.91
19        314.91        358.6        428.17        311
20        309.33        309.33        428.17        309.33
