cost        CG2        HBCS        ScaleStar        OPT
1        894.18        989.8        927.32        863.58
2        674.45        852.1        680.4        648.53
3        574.79        743.44        585.2        555.24
4        480.22        758.74        506.22        476.26
5        430.5        503.74        432.48        417.89
6        404.73        449.48        411.37        386.8
7        369.73        375.75        375.75        362.59
8        349.18        349.18        351.17        340.65
9        331.58        334.91        351.17        326.34
10        319.04        322.22        351.17        312.77
11        306.13        316.12        351.17        301.02
12        299.17        311.81        351.17        292.86
13        290.44        300.73        351.17        284.13
14        282.94        300.73        351.17        277.36
15        276.66        300.73        351.17        271.59
16        270.09        300.73        351.17        265.32
17        265.32        300.73        351.17        261.58
18        261.81        290.17        351.17        257.21
19        258.79        290.17        351.17        253.7
20        253.7        253.7        351.17        253.7
