cost        CG2        HBCS        ScaleStar        OPT
1        991.9        999.55        999.55        907.12
2        749.22        916.89        749.22        709.08
3        614.29        889.33        666.56        605.8
4        524.61        816.88        545.22        524.61
5        472.34        546.92        472.34        444.78
6        427.36        623        444.78        420.49
7        397.47        477.22        421.76        389.29
8        380.04        380.04        380.04        367.89
9        366.26        367.89        380.04        353.95
10        342.61        351.89        380.04        333.89
11        333.89        347.03        380.04        325.18
12        325.63        343.56        380.04        313.11
13        311.43        343.56        380.04        305.92
14        306.21        326.82        380.04        295.84
15        300.69        326.82        380.04        289.86
16        291.23        313.05        380.04        284.18
17        287.75        313.05        380.04        280.71
18        283.81        313.05        380.04        277.05
19        277.85        313.05        380.04        274.56
20        274.56        274.56        380.04        274.56
