cost        CG2        HBCS        ScaleStar        OPT
1        818.25        935.55        818.25        818.25
2        616.16        724.11        624.03        616.16
3        542.14        667.38        552.48        536.9
4        466.24        640.53        475.91        460.4
5        398.67        594.63        400.69        398.67
6        371.82        426.33        379.93        371.65
7        346.75        351.1        353.09        346.75
8        324.01        324.01        328.01        324.01
9        312.17        312.57        328.01        311.47
10        298.05        298.05        328.01        298.05
11        286.6        290.53        328.01        286.08
12        278.54        285.51        328.01        278.54
13        273.17        281.93        328.01        271.13
14        264.12        279.38        328.01        263.6
15        257.83        270.99        328.01        257.83
16        252.82        270.99        328.01        252.82
17        248.96        270.99        328.01        247.83
18        243.61        262.93        328.01        243.61
19        239.77        262.93        328.01        239.77
20        236        236        328.01        236
