cost        CG2        HBCS        ScaleStar        OPT
1        1010.68        1064.44        1064.44        1006
2        748.88        903.58        753.66        748.88
3        657.08        957.48        657.92        655.73
4        555.71        741.79        572.57        555.71
5        482.47        710.7        482.47        482.47
6        450.77        513.35        451.06        450.77
7        419.22        428.14        424.85        419.22
8        393.08        396.44        396.44        393.08
9        378.22        382.24        396.44        377.53
10        362.37        373.72        396.44        362.37
11        349.23        363.98        396.44        347.25
12        338.73        354.24        396.44        337.92
13        328.83        350.88        396.44        328.74
14        319.62        350.88        396.44        319.62
15        312.84        336.82        396.44        312.84
16        306.9        336.82        396.44        306.62
17        302.84        336.82        396.44        300.68
18        296.62        336.82        396.44        296.24
19        291.26        331.01        396.44        291.26
20        287.2        287.2        396.44        287.2
