cost        CG2        HBCS        ScaleStar        OPT
1        1173        1360.21        1212.95        1173
2        883.79        1113.08        883.79        883.79
3        772.44        1112.72        772.44        772.22
4        666.68        801.83        669.23        666.68
5        574.88        675.54        574.88        574.88
6        536.78        576.8        549.95        536.78
7        499.59        547.4        500.44        499.59
8        467.53        528.31        468.85        467.53
9        446.71        447.35        468.85        446.71
10        428.12        436.33        468.85        428.12
11        412.53        427.34        468.85        412.53
12        400.56        410.48        468.85        399.52
13        389.41        407.91        468.85        388.76
14        378.65        407.91        468.85        378.65
15        370.67        402.03        468.85        370.66
16        363.91        396.75        468.85        363.39
17        358.47        396.75        468.85        356.65
18        351.2        396.75        468.85        350.83
19        346.12        396.75        468.85        345.75
20        340.3        340.3        468.85        340.3
