cost        CG2        HBCS        ScaleStar
1        9114.18        13719.86        9139.39
2        6355        10833.72        6351.46
3        5297.78        7631.31        5482.55
4        4736.56        5429.26        5482.55
5        4383.21        4451.76        5482.55
6        4148.86        4235.26        5482.55
7        3974.79        4117.33        5482.55
8        3837.92        4016.07        5482.55
9        3732.49        3947.48        5482.55
10        3644.24        3910.32        5482.55
11        3571.33        3844.5        5482.55
12        3511.57        3802.87        5482.55
13        3460.07        3763.73        5482.55
14        3413.98        3736.26        5482.55
15        3375.91        3707.16        5482.55
16        3342.84        3672.31        5482.55
17        3311.14        3652.69        5482.55
18        3284.66        3626.38        5482.55
19        3259.19        3611.12        5482.55
20        3238.98        3590.63        5482.55
