cost        CG2        HBCS        ScaleStar
2        9327.76        14302.46        9346.68
3        6491.88        10820.82        6490.04
4        5418.58        7629.26        5599.1
5        4840.8        5361.17        5599.1
6        4485.65        4490.79        5599.1
7        4235.67        4332.62        5599.1
8        4061.12        4197        5599.1
9        3923.02        4104.4        5599.1
10        3813.21        4050.06        5599.1
11        3726.49        3994.67        5599.1
12        3648.26        3930.83        5599.1
13        3587.63        3881.2        5599.1
14        3534.92        3844.46        5599.1
15        3490.28        3812.32        5599.1
16        3450        3780.69        5599.1
17        3415.23        3760.39        5599.1
18        3383.93        3729.94        5599.1
19        3356.89        3705.16        5599.1
20        3330.57        3678.9        5599.1
21        3309.82        3309.82        5599.1
