cost        CG2        HBCS        ScaleStar
1        8347.18        12820.09        8350.57
2        5801.92        9911.74        5810.07
3        4843.19        6939.75        5013.16
4        4329.97        4734.11        5013.16
5        4007.69        4006.6        5013.16
6        3790.31        3870.75        5013.16
7        3635.09        3763.36        5013.16
8        3511.74        3672.86        5013.16
9        3415.16        3615.19        5013.16
10        3331.56        3573.68        5013.16
11        3266.14        3533.04        5013.16
12        3209.8        3479.32        5013.16
13        3161.52        3440.3        5013.16
14        3121.13        3415.09        5013.16
15        3085.76        3383.3        5013.16
16        3054.45        3364.66        5013.16
17        3027.16        3336.88        5013.16
18        3002.19        3308.47        5013.16
19        2979.26        3291.06        5013.16
20        2960.26        2960.26        5013.16
