cost        CG2        HBCS        ScaleStar
2        9436.78        14561.32        9443.36
3        6570.5        11239.38        6568.87
4        5480.52        7721.63        5666.18
5        4898.76        5491.92        5666.18
6        4535.28        4533.5        5666.18
7        4284.71        4379.13        5666.18
8        4110.77        4249.66        5666.18
9        3970.39        4155.05        5666.18
10        3859.5        4098.18        5666.18
11        3770.5        4045.39        5666.18
12        3691.12        3981.73        5666.18
13        3627.74        3928.77        5666.18
14        3577.59        3893.07        5666.18
15        3530.11        3856.48        5666.18
16        3490.74        3829.34        5666.18
17        3454.9        3807.8        5666.18
18        3423.41        3771.68        5666.18
19        3395.86        3754.88        5666.18
20        3369.21        3731.01        5666.18
21        3347.91        3347.91        5666.18
