cost        CG2        HBCS        ScaleStar
1        9000.78        13296.99        9007.36
2        6274.82        9956.81        6248.76
3        5285.57        7558.79        5293.15
4        4703.74        5565.11        5071.3
5        4317.74        4323.03        5071.3
6        4052.11        4103.75        5071.3
7        3870.92        3981.16        5071.3
8        3717.92        3912.46        5071.3
9        3603.49        3838.78        5071.3
10        3510.16        3776.09        5071.3
11        3430.72        3716.28        5071.3
12        3367.61        3668.88        5071.3
13        3309.57        3641.55        5071.3
14        3261.85        3606.65        5071.3
15        3218.39        3570.31        5071.3
16        3183.53        3544.69        5071.3
17        3150.74        3514.19        5071.3
18        3121.53        3485.94        5071.3
19        3093.47        3464.88        5071.3
20        3070.25        3070.25        5071.3
