cost        CG2        HBCS        ScaleStar
1        8234.31        12409.8        8234.95
2        5753.45        9132.16        5722.07
3        4854.85        7176.84        4842.39
4        4302.21        5255.04        4639.8
5        3950.85        3964.48        4639.8
6        3707.76        3757.32        4639.8
7        3546.26        3651.09        4639.8
8        3409.79        3578.31        4639.8
9        3296.63        3515.77        4639.8
10        3209.46        3457.17        4639.8
11        3140.42        3402.24        4639.8
12        3083.25        3363.29        4639.8
13        3030.56        3331.62        4639.8
14        2983.13        3296.21        4639.8
15        2945.65        3267.89        4639.8
16        2912.45        3237.41        4639.8
17        2882.54        3205.48        4639.8
18        2855.73        3185.15        4639.8
19        2830.13        3165.66        4639.8
20        2809.64        2809.64        4639.8
