cost        CG2        HBCS        ScaleStar
2        3044.9        3557.24        3066.58
3        2281.39        2988.8        2286.28
4        1990.9        2457.98        1992.39
5        1695.74        1984.52        1726.48
6        1485.54        1724.85        1487.2
7        1386.98        1617.33        1387.75
8        1289.44        1484.58        1292.94
9        1205.93        1208.19        1220.55
10        1158.03        1172        1220.55
11        1108.99        1168.46        1220.55
12        1065.87        1162.79        1220.55
13        1037.88        1145.15        1220.55
14        1011.4        1120.47        1220.55
15        982.5        1112.47        1220.55
16        961.48        1099.4        1220.55
17        944.54        1095.29        1220.55
18        924.66        1095.29        1220.55
19        909.8        1066.49        1220.55
20        895.55        1060.71        1220.55
21        882.68        882.68        1220.55
