cost        CG2        HBCS        ScaleStar
2        3286.1        3880.04        3292.05
3        2470.52        3192.6        2468.4
4        2149.01        2649.45        2156.88
5        1835.79        1961.94        1848.11
6        1605.08        1861        1604.94
7        1499.19        1747.46        1497.56
8        1393.5        1444.79        1395.35
9        1307.26        1310.33        1322.81
10        1254.49        1275.91        1322.81
11        1201.65        1264.04        1322.81
12        1154.95        1250.04        1322.81
13        1123.3        1242.96        1322.81
14        1091.87        1216.14        1322.81
15        1063.35        1216.14        1322.81
16        1041.22        1198.97        1322.81
17        1020.33        1185.8        1322.81
18        1000.92        1170.36        1322.81
19        985.27        1162.77        1322.81
20        970.45        1145.82        1322.81
21        956.43        956.43        1322.81
