cost        CG2        HBCS        ScaleStar
1        3592.3        4254.02        3607.6
2        2693.21        3409.13        2693
3        2347.69        2812.21        2353.21
4        2006.41        2204.25        2009.39
5        1754.81        2084.47        1750
6        1633.69        1966.82        1634.25
7        1519.36        1752.12        1519.65
8        1425.9        1430.82        1441.94
9        1365.19        1392.71        1441.94
10        1308.67        1381.17        1441.94
11        1258.84        1365.11        1441.94
12        1224.2        1349.39        1441.94
13        1189.78        1320.9        1441.94
14        1159.55        1320.01        1441.94
15        1134.17        1318.97        1441.94
16        1111.49        1287.46        1441.94
17        1091.65        1280.43        1441.94
18        1073.62        1260.68        1441.94
19        1056.71        1237.24        1441.94
20        1040.3        1040.3        1441.94
