cost        CG2        HBCS        ScaleStar
2        3906.58        4485.85        3915.08
3        2918.02        3797.35        2917.18
4        2549.98        3029.59        2556.99
5        2180.44        2336.62        2191.27
6        1897.67        2210.26        1903.13
7        1775.06        2054.78        1780.58
8        1652.87        1719.31        1663.42
9        1544.28        1548.46        1561
10        1483.26        1515.55        1561
11        1428.89        1489.48        1561
12        1366.34        1477.08        1561
13        1328.04        1471.47        1561
14        1290.57        1454.3        1561
15        1261.22        1434.92        1561
16        1231.68        1414.73        1561
17        1207.19        1411.26        1561
18        1187.45        1395.73        1561
19        1164.72        1370.88        1561
20        1147.02        1370.88        1561
21        1127.74        1127.74        1561
