cost        CG2        HBCS        ScaleStar
2        7498.1        11092.89        7505.96
3        5501.88        8485.87        5510.16
4        4533.09        5869.28        4532.88
5        3962.74        4828.66        4059.46
6        3646.13        3880.24        4059.46
7        3404.24        3440.04        4059.46
8        3227.28        3353.03        4059.46
9        3106.72        3258.23        4059.46
10        2993.62        3184.01        4059.46
11        2907.61        3131.43        4059.46
12        2841.81        3097.16        4059.46
13        2781.81        3053.96        4059.46
14        2729.77        3026.01        4059.46
15        2685.53        2990.66        4059.46
16        2648.95        2949.42        4059.46
17        2613.54        2920.05        4059.46
18        2585.5        2896.89        4059.46
19        2558.11        2887.88        4059.46
20        2532.39        2868.12        4059.46
21        2510.39        2510.39        4059.46
