cost        CG2        HBCS        ScaleStar
2        8196.71        12157.32        8195.65
3        6003.08        9275.47        6022.55
4        4952.05        6257.61        4954.6
5        4330.98        5045.9        4432.88
6        3981.87        4162.51        4432.88
7        3718.87        3775.57        4432.88
8        3525.62        3647.87        4432.88
9        3391.32        3553.14        4432.88
10        3269.39        3469.28        4432.88
11        3175.98        3415.86        4432.88
12        3103.22        3378.9        4432.88
13        3037.52        3339.37        4432.88
14        2979.78        3304.82        4432.88
15        2933.59        3269.78        4432.88
16        2892.04        3237.05        4432.88
17        2854.81        3198.58        4432.88
18        2823.4        3171.73        4432.88
19        2793.21        3148.56        4432.88
20        2766.05        3127.26        4432.88
21        2743.05        2743.05        4432.88
