cost        CG2        HBCS        ScaleStar
2        7014.5        10419.74        7016.84
3        5144.64        7840.88        5152.79
4        4231.32        5556.11        4234.01
5        3702.19        4579.11        3792.33
6        3415.08        3463.84        3792.33
7        3183.2        3232.39        3792.33
8        3015.63        3124.64        3792.33
9        2903.08        3052.25        3792.33
10        2798.81        2960.26        3792.33
11        2716.87        2927.66        3792.33
12        2653.55        2887.87        3792.33
13        2598.52        2845.7        3792.33
14        2549.28        2823.1        3792.33
15        2510.1        2790.77        3792.33
16        2475.09        2765.74        3792.33
17        2442.03        2731.92        3792.33
18        2414.48        2712.57        3792.33
19        2389.68        2694.14        3792.33
20        2366.34        2676.55        3792.33
21        2345.91        2345.91        3792.33
