cost        CG2        HBCS        ScaleStar
2        8160.56        12230.36        8166.3
3        5973.94        9365.47        5990.3
4        4926.53        6481.67        4928.37
5        4307.44        5321.31        4411.81
6        3972.22        4257.04        4411.81
7        3700.97        3753.61        4411.81
8        3508.09        3649.13        4411.81
9        3375.76        3534.74        4411.81
10        3255.36        3448.75        4411.81
11        3161.92        3415.36        4411.81
12        3089.08        3369.02        4411.81
13        3020.83        3323.49        4411.81
14        2966.32        3291.89        4411.81
15        2921.19        3237.55        4411.81
16        2878.38        3207.99        4411.81
17        2840.28        3184.92        4411.81
18        2808.18        3157.27        4411.81
19        2780.67        3138.88        4411.81
20        2753.49        3116.99        4411.81
21        2730.25        2730.25        4411.81
