cost        CG2        HBCS        ScaleStar
1        8348.26        12484.15        8359.1
2        6115.31        9436.83        6131.89
3        5044.24        6443.62        5043.32
4        4409.43        5416.79        4517.99
5        4056.05        4243.29        4517.99
6        3787.44        3830.55        4517.99
7        3589.91        3723.52        4517.99
8        3456.8        3621.93        4517.99
9        3331.66        3538.21        4517.99
10        3235.57        3482.41        4517.99
11        3160.94        3451.95        4517.99
12        3093.41        3409.6        4517.99
13        3036.42        3370.01        4517.99
14        2989.57        3328.18        4517.99
15        2946.39        3289.98        4517.99
16        2908.1        3261.61        4517.99
17        2875.87        3232.53        4517.99
18        2846.05        3216.86        4517.99
19        2819.07        3191.42        4517.99
20        2794.45        2794.45        4517.99
