V 15
Workload
0   :0
1   :329
2   :202
3   :155
4   :208
5   :207
6   :183
7   :162
8   :146
9   :384
10  :81
11  :339
12  :38
13  :259
14  :0
Suclist
0  -->1
1  -->11
1  -->13
1  -->10
1  -->14
1  -->3
1  -->9
1  -->8
1  -->12
1  -->5
1  -->7
1  -->4
1  -->2
2  -->8
2  -->10
2  -->12
2  -->11
2  -->7
2  -->13
2  -->5
3  -->8
3  -->5
3  -->13
3  -->9
3  -->7
3  -->11
3  -->12
3  -->14
3  -->6
4  -->11
4  -->5
4  -->7
4  -->8
4  -->12
4  -->14
4  -->9
4  -->10
5  -->11
5  -->9
6  -->13
6  -->10
6  -->7
6  -->9
6  -->8
6  -->12
7  -->10
7  -->13
7  -->9
7  -->8
8  -->10
8  -->11
8  -->13
8  -->14
8  -->12
9  -->12
9  -->13
9  -->14
9  -->11
10 -->13
10 -->14
10 -->12
10 -->11
11 -->13
12 -->14
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
4  <--1
5  <--1
5  <--2
5  <--3
5  <--4
6  <--3
7  <--1
7  <--2
7  <--3
7  <--4
7  <--6
8  <--1
8  <--2
8  <--3
8  <--4
8  <--6
8  <--7
9  <--1
9  <--3
9  <--4
9  <--5
9  <--6
9  <--7
10 <--1
10 <--2
10 <--4
10 <--6
10 <--7
10 <--8
11 <--1
11 <--2
11 <--3
11 <--4
11 <--5
11 <--8
11 <--9
11 <--10
12 <--1
12 <--2
12 <--3
12 <--4
12 <--6
12 <--8
12 <--9
12 <--10
13 <--1
13 <--2
13 <--3
13 <--6
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
14 <--1
14 <--3
14 <--4
14 <--8
14 <--9
14 <--10
14 <--12
14 <--13
E 65
#
