V 20
Workload
0   :0
1   :484
2   :488
3   :99
4   :389
5   :472
6   :310
7   :259
8   :434
9   :208
10  :6
11  :480
12  :413
13  :84
14  :137
15  :437
16  :421
17  :116
18  :168
19  :0
Suclist
0  -->1
0  -->2
1  -->19
1  -->12
1  -->3
1  -->15
1  -->18
1  -->14
1  -->8
2  -->17
2  -->15
2  -->16
2  -->10
2  -->3
2  -->14
2  -->4
2  -->9
2  -->18
3  -->18
3  -->5
3  -->12
3  -->17
3  -->15
3  -->14
4  -->11
4  -->15
4  -->14
4  -->13
4  -->9
4  -->19
4  -->5
5  -->11
5  -->8
5  -->12
5  -->7
5  -->18
5  -->16
5  -->13
5  -->15
5  -->14
5  -->6
5  -->10
6  -->10
6  -->17
7  -->15
7  -->18
8  -->14
9  -->11
9  -->10
9  -->16
9  -->13
9  -->18
9  -->14
9  -->19
9  -->12
10 -->15
10 -->13
10 -->11
10 -->12
10 -->17
11 -->15
11 -->19
11 -->12
11 -->13
11 -->17
11 -->14
12 -->14
12 -->15
12 -->16
13 -->17
13 -->18
13 -->16
14 -->16
15 -->18
15 -->17
16 -->17
17 -->19
17 -->18
18 -->19
Prelist
1  <--0
2  <--0
3  <--1
3  <--2
4  <--2
5  <--3
5  <--4
6  <--5
7  <--5
8  <--1
8  <--5
9  <--2
9  <--4
10 <--2
10 <--5
10 <--6
10 <--9
11 <--4
11 <--5
11 <--9
11 <--10
12 <--1
12 <--3
12 <--5
12 <--9
12 <--10
12 <--11
13 <--4
13 <--5
13 <--9
13 <--10
13 <--11
14 <--1
14 <--2
14 <--3
14 <--4
14 <--5
14 <--8
14 <--9
14 <--11
14 <--12
15 <--1
15 <--2
15 <--3
15 <--4
15 <--5
15 <--7
15 <--10
15 <--11
15 <--12
16 <--2
16 <--5
16 <--9
16 <--12
16 <--13
16 <--14
17 <--2
17 <--3
17 <--6
17 <--10
17 <--11
17 <--13
17 <--15
17 <--16
18 <--1
18 <--2
18 <--3
18 <--5
18 <--7
18 <--9
18 <--13
18 <--15
18 <--17
19 <--1
19 <--4
19 <--9
19 <--11
19 <--17
19 <--18
E 79
#
