V 15
Workload
0   :0
1   :126
2   :212
3   :354
4   :219
5   :286
6   :61
7   :39
8   :74
9   :452
10  :231
11  :151
12  :130
13  :164
14  :0
Suclist
0  -->1
0  -->2
1  -->11
1  -->12
1  -->9
1  -->7
1  -->10
1  -->3
1  -->5
1  -->6
1  -->13
1  -->4
2  -->6
2  -->5
3  -->14
3  -->6
3  -->13
3  -->11
3  -->10
3  -->12
4  -->10
4  -->11
4  -->5
4  -->7
4  -->14
4  -->8
4  -->9
4  -->6
4  -->13
4  -->12
5  -->14
5  -->6
5  -->8
5  -->10
5  -->13
5  -->12
5  -->9
5  -->7
5  -->11
6  -->10
6  -->14
6  -->13
6  -->11
6  -->9
6  -->12
6  -->8
7  -->8
7  -->14
7  -->13
7  -->10
7  -->9
7  -->11
7  -->12
8  -->10
9  -->10
9  -->13
9  -->11
9  -->14
10 -->11
11 -->14
11 -->12
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--0
3  <--1
4  <--1
5  <--1
5  <--2
5  <--4
6  <--1
6  <--2
6  <--3
6  <--4
6  <--5
7  <--1
7  <--4
7  <--5
8  <--4
8  <--5
8  <--6
8  <--7
9  <--1
9  <--4
9  <--5
9  <--6
9  <--7
10 <--1
10 <--3
10 <--4
10 <--5
10 <--6
10 <--7
10 <--8
10 <--9
11 <--1
11 <--3
11 <--4
11 <--5
11 <--6
11 <--7
11 <--9
11 <--10
12 <--1
12 <--3
12 <--4
12 <--5
12 <--6
12 <--7
12 <--11
13 <--1
13 <--3
13 <--4
13 <--5
13 <--6
13 <--7
13 <--9
13 <--12
14 <--3
14 <--4
14 <--5
14 <--6
14 <--7
14 <--9
14 <--11
14 <--12
14 <--13
E 64
#
