V 15
Workload
0   :0
1   :87
2   :328
3   :361
4   :212
5   :334
6   :404
7   :276
8   :220
9   :30
10  :88
11  :162
12  :457
13  :235
14  :0
Suclist
0  -->1
1  -->11
1  -->14
1  -->7
1  -->3
1  -->9
1  -->2
1  -->13
1  -->6
1  -->5
1  -->4
1  -->8
2  -->12
2  -->11
3  -->13
3  -->12
3  -->6
3  -->4
3  -->10
3  -->14
3  -->11
3  -->5
3  -->9
3  -->7
3  -->8
4  -->5
4  -->8
4  -->14
5  -->7
5  -->9
5  -->11
5  -->10
5  -->14
5  -->6
5  -->8
5  -->13
5  -->12
6  -->14
6  -->8
6  -->13
7  -->12
7  -->10
7  -->14
7  -->8
7  -->13
7  -->9
8  -->12
8  -->13
8  -->9
9  -->13
9  -->14
9  -->10
9  -->12
9  -->11
10 -->13
10 -->14
11 -->14
11 -->13
11 -->12
12 -->14
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
4  <--1
4  <--3
5  <--1
5  <--3
5  <--4
6  <--1
6  <--3
6  <--5
7  <--1
7  <--3
7  <--5
8  <--1
8  <--3
8  <--4
8  <--5
8  <--6
8  <--7
9  <--1
9  <--3
9  <--5
9  <--7
9  <--8
10 <--3
10 <--5
10 <--7
10 <--9
11 <--1
11 <--2
11 <--3
11 <--5
11 <--9
12 <--2
12 <--3
12 <--5
12 <--7
12 <--8
12 <--9
12 <--11
13 <--1
13 <--3
13 <--5
13 <--6
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
14 <--1
14 <--3
14 <--4
14 <--5
14 <--6
14 <--7
14 <--9
14 <--10
14 <--11
14 <--12
14 <--13
E 61
#
