V 15
Workload
0   :0
1   :169
2   :15
3   :215
4   :261
5   :90
6   :390
7   :55
8   :96
9   :38
10  :312
11  :81
12  :11
13  :296
14  :0
Suclist
0  -->1
1  -->5
1  -->13
1  -->12
1  -->4
1  -->6
1  -->3
1  -->11
1  -->14
1  -->9
1  -->10
1  -->2
1  -->8
2  -->3
2  -->7
2  -->10
2  -->14
2  -->13
2  -->11
2  -->4
2  -->12
2  -->6
2  -->8
2  -->9
2  -->5
3  -->5
3  -->4
3  -->9
3  -->13
3  -->7
4  -->5
4  -->13
4  -->12
4  -->6
4  -->7
4  -->14
4  -->9
4  -->10
4  -->8
5  -->11
5  -->10
5  -->12
5  -->9
5  -->13
6  -->7
6  -->14
6  -->12
6  -->9
6  -->11
6  -->13
6  -->10
7  -->9
7  -->12
7  -->14
7  -->13
7  -->8
8  -->9
9  -->10
10 -->12
10 -->14
10 -->11
11 -->14
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--1
4  <--2
4  <--3
5  <--1
5  <--2
5  <--3
5  <--4
6  <--1
6  <--2
6  <--4
7  <--2
7  <--3
7  <--4
7  <--6
8  <--1
8  <--2
8  <--4
8  <--7
9  <--1
9  <--2
9  <--3
9  <--4
9  <--5
9  <--6
9  <--7
9  <--8
10 <--1
10 <--2
10 <--4
10 <--5
10 <--6
10 <--9
11 <--1
11 <--2
11 <--5
11 <--6
11 <--10
12 <--1
12 <--2
12 <--4
12 <--5
12 <--6
12 <--7
12 <--10
13 <--1
13 <--2
13 <--3
13 <--4
13 <--5
13 <--6
13 <--7
13 <--12
14 <--1
14 <--2
14 <--4
14 <--6
14 <--7
14 <--10
14 <--11
14 <--12
14 <--13
E 65
#
