V 20
Workload
0   :0
1   :236
2   :148
3   :452
4   :295
5   :88
6   :61
7   :467
8   :463
9   :399
10  :171
11  :288
12  :471
13  :274
14  :143
15  :67
16  :462
17  :207
18  :32
19  :0
Suclist
0  -->1
1  -->2
1  -->18
1  -->6
1  -->12
1  -->19
1  -->10
1  -->17
1  -->3
1  -->8
1  -->5
1  -->14
1  -->9
1  -->7
1  -->4
1  -->13
1  -->11
1  -->15
2  -->4
2  -->15
2  -->18
2  -->9
2  -->3
2  -->5
2  -->16
2  -->12
3  -->17
3  -->4
3  -->6
3  -->13
3  -->10
4  -->9
4  -->5
4  -->11
4  -->13
4  -->10
4  -->19
4  -->14
4  -->12
4  -->18
4  -->15
4  -->7
4  -->16
5  -->16
5  -->18
5  -->19
6  -->13
6  -->14
6  -->7
7  -->13
7  -->19
7  -->17
7  -->18
7  -->15
8  -->11
8  -->19
8  -->12
9  -->15
10 -->12
10 -->19
10 -->11
11 -->14
11 -->12
11 -->18
11 -->17
11 -->19
12 -->18
12 -->17
13 -->16
14 -->17
14 -->16
15 -->18
15 -->19
15 -->16
15 -->17
16 -->17
16 -->19
16 -->18
17 -->19
17 -->18
18 -->19
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--1
4  <--2
4  <--3
5  <--1
5  <--2
5  <--4
6  <--1
6  <--3
7  <--1
7  <--4
7  <--6
8  <--1
9  <--1
9  <--2
9  <--4
10 <--1
10 <--3
10 <--4
11 <--1
11 <--4
11 <--8
11 <--10
12 <--1
12 <--2
12 <--4
12 <--8
12 <--10
12 <--11
13 <--1
13 <--3
13 <--4
13 <--6
13 <--7
14 <--1
14 <--4
14 <--6
14 <--11
15 <--1
15 <--2
15 <--4
15 <--7
15 <--9
16 <--2
16 <--4
16 <--5
16 <--13
16 <--14
16 <--15
17 <--1
17 <--3
17 <--7
17 <--11
17 <--12
17 <--14
17 <--15
17 <--16
18 <--1
18 <--2
18 <--4
18 <--5
18 <--7
18 <--11
18 <--12
18 <--15
18 <--16
18 <--17
19 <--1
19 <--4
19 <--5
19 <--7
19 <--8
19 <--10
19 <--11
19 <--15
19 <--16
19 <--17
19 <--18
E 81
#
