V 20
Workload
0   :0
1   :192
2   :48
3   :462
4   :229
5   :179
6   :133
7   :168
8   :72
9   :461
10  :100
11  :89
12  :327
13  :291
14  :112
15  :369
16  :350
17  :181
18  :445
19  :0
Suclist
0  -->1
0  -->2
0  -->3
1  -->19
2  -->4
2  -->16
2  -->18
2  -->6
2  -->14
3  -->13
3  -->6
3  -->16
3  -->17
4  -->8
4  -->7
4  -->9
4  -->10
4  -->13
4  -->5
4  -->12
4  -->16
4  -->14
4  -->17
4  -->11
4  -->15
4  -->18
4  -->19
4  -->6
5  -->14
5  -->19
5  -->8
5  -->7
5  -->16
5  -->18
5  -->6
5  -->13
5  -->11
5  -->12
5  -->9
5  -->15
6  -->11
6  -->18
6  -->14
6  -->9
6  -->17
6  -->19
6  -->8
6  -->10
7  -->15
8  -->12
8  -->18
8  -->15
8  -->19
8  -->14
8  -->9
8  -->16
8  -->17
8  -->10
8  -->11
9  -->13
9  -->17
10 -->15
10 -->16
10 -->12
11 -->16
11 -->14
11 -->18
11 -->13
11 -->17
11 -->19
12 -->14
12 -->13
12 -->18
12 -->17
12 -->19
12 -->16
13 -->17
14 -->19
14 -->17
14 -->15
14 -->16
15 -->17
15 -->19
15 -->18
15 -->16
16 -->19
17 -->19
18 -->19
Prelist
1  <--0
2  <--0
3  <--0
4  <--2
5  <--4
6  <--2
6  <--3
6  <--4
6  <--5
7  <--4
7  <--5
8  <--4
8  <--5
8  <--6
9  <--4
9  <--5
9  <--6
9  <--8
10 <--4
10 <--6
10 <--8
11 <--4
11 <--5
11 <--6
11 <--8
12 <--4
12 <--5
12 <--8
12 <--10
13 <--3
13 <--4
13 <--5
13 <--9
13 <--11
13 <--12
14 <--2
14 <--4
14 <--5
14 <--6
14 <--8
14 <--11
14 <--12
15 <--4
15 <--5
15 <--7
15 <--8
15 <--10
15 <--14
16 <--2
16 <--3
16 <--4
16 <--5
16 <--8
16 <--10
16 <--11
16 <--12
16 <--14
16 <--15
17 <--3
17 <--4
17 <--6
17 <--8
17 <--9
17 <--11
17 <--12
17 <--13
17 <--14
17 <--15
18 <--2
18 <--4
18 <--5
18 <--6
18 <--8
18 <--11
18 <--12
18 <--15
19 <--1
19 <--4
19 <--5
19 <--6
19 <--8
19 <--11
19 <--12
19 <--14
19 <--15
19 <--16
19 <--17
19 <--18
E 88
#
