V 20
Workload
0   :0
1   :303
2   :476
3   :474
4   :482
5   :276
6   :176
7   :389
8   :170
9   :134
10  :340
11  :50
12  :295
13  :21
14  :274
15  :421
16  :342
17  :333
18  :199
19  :0
Suclist
0  -->1
0  -->3
1  -->15
1  -->9
1  -->17
1  -->14
1  -->13
1  -->10
1  -->16
1  -->5
1  -->4
1  -->2
1  -->11
1  -->7
1  -->12
1  -->6
2  -->6
2  -->14
2  -->7
2  -->5
2  -->17
2  -->18
2  -->13
2  -->15
3  -->11
3  -->19
4  -->6
4  -->18
4  -->14
4  -->7
4  -->13
4  -->12
4  -->19
4  -->15
5  -->17
6  -->8
6  -->16
6  -->12
6  -->10
6  -->18
6  -->19
6  -->7
6  -->13
6  -->14
7  -->11
7  -->15
8  -->9
8  -->11
8  -->17
8  -->13
8  -->12
8  -->14
9  -->12
9  -->16
9  -->17
9  -->13
10 -->14
10 -->18
10 -->19
11 -->14
11 -->12
11 -->15
11 -->17
11 -->16
11 -->18
11 -->13
11 -->19
12 -->15
12 -->18
12 -->17
12 -->16
12 -->13
13 -->17
13 -->14
13 -->19
13 -->15
13 -->18
13 -->16
14 -->15
15 -->19
16 -->19
16 -->18
17 -->18
18 -->19
Prelist
1  <--0
2  <--1
3  <--0
4  <--1
5  <--1
5  <--2
6  <--1
6  <--2
6  <--4
7  <--1
7  <--2
7  <--4
7  <--6
8  <--6
9  <--1
9  <--8
10 <--1
10 <--6
11 <--1
11 <--3
11 <--7
11 <--8
12 <--1
12 <--4
12 <--6
12 <--8
12 <--9
12 <--11
13 <--1
13 <--2
13 <--4
13 <--6
13 <--8
13 <--9
13 <--11
13 <--12
14 <--1
14 <--2
14 <--4
14 <--6
14 <--8
14 <--10
14 <--11
14 <--13
15 <--1
15 <--2
15 <--4
15 <--7
15 <--11
15 <--12
15 <--13
15 <--14
16 <--1
16 <--6
16 <--9
16 <--11
16 <--12
16 <--13
17 <--1
17 <--2
17 <--5
17 <--8
17 <--9
17 <--11
17 <--12
17 <--13
18 <--2
18 <--4
18 <--6
18 <--10
18 <--11
18 <--12
18 <--13
18 <--16
18 <--17
19 <--3
19 <--4
19 <--6
19 <--10
19 <--11
19 <--13
19 <--15
19 <--16
19 <--18
E 84
#
