V 15
Workload
0   :0
1   :36
2   :29
3   :70
4   :98
5   :209
6   :46
7   :46
8   :75
9   :150
10  :487
11  :415
12  :125
13  :300
14  :0
Suclist
0  -->1
1  -->2
1  -->3
1  -->5
2  -->9
2  -->4
2  -->10
2  -->5
2  -->3
2  -->6
2  -->14
2  -->13
3  -->7
3  -->5
3  -->14
3  -->12
3  -->9
3  -->6
3  -->4
4  -->11
4  -->6
4  -->5
4  -->10
4  -->8
4  -->12
4  -->7
4  -->14
5  -->10
5  -->11
5  -->6
5  -->7
5  -->8
5  -->12
5  -->13
6  -->9
6  -->14
6  -->7
6  -->8
6  -->12
6  -->11
6  -->10
7  -->11
7  -->10
7  -->9
7  -->13
7  -->8
7  -->12
8  -->9
8  -->13
8  -->14
8  -->10
8  -->11
8  -->12
9  -->14
9  -->11
10 -->14
10 -->11
10 -->13
11 -->12
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--2
4  <--3
5  <--1
5  <--2
5  <--3
5  <--4
6  <--2
6  <--3
6  <--4
6  <--5
7  <--3
7  <--4
7  <--5
7  <--6
8  <--4
8  <--5
8  <--6
8  <--7
9  <--2
9  <--3
9  <--6
9  <--7
9  <--8
10 <--2
10 <--4
10 <--5
10 <--6
10 <--7
10 <--8
11 <--4
11 <--5
11 <--6
11 <--7
11 <--8
11 <--9
11 <--10
12 <--3
12 <--4
12 <--5
12 <--6
12 <--7
12 <--8
12 <--11
13 <--2
13 <--5
13 <--7
13 <--8
13 <--10
13 <--12
14 <--2
14 <--3
14 <--4
14 <--6
14 <--8
14 <--9
14 <--10
14 <--13
E 61
#
