V 15
Workload
0   :0
1   :353
2   :54
3   :172
4   :472
5   :102
6   :149
7   :404
8   :138
9   :122
10  :162
11  :331
12  :106
13  :71
14  :0
Suclist
0  -->1
1  -->4
1  -->11
1  -->6
1  -->7
1  -->9
1  -->14
1  -->2
1  -->8
1  -->10
1  -->13
2  -->6
2  -->9
2  -->14
2  -->4
2  -->10
2  -->3
2  -->13
2  -->8
2  -->5
2  -->11
2  -->7
3  -->6
3  -->13
3  -->12
3  -->10
4  -->5
4  -->9
4  -->14
4  -->10
4  -->8
4  -->6
4  -->7
4  -->13
4  -->11
5  -->14
5  -->12
5  -->9
5  -->11
5  -->7
6  -->13
6  -->7
6  -->10
6  -->8
7  -->9
7  -->13
7  -->8
7  -->11
8  -->11
8  -->13
9  -->12
9  -->13
9  -->11
9  -->14
9  -->10
10 -->14
10 -->11
10 -->12
10 -->13
11 -->13
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--2
4  <--1
4  <--2
5  <--2
5  <--4
6  <--1
6  <--2
6  <--3
6  <--4
7  <--1
7  <--2
7  <--4
7  <--5
7  <--6
8  <--1
8  <--2
8  <--4
8  <--6
8  <--7
9  <--1
9  <--2
9  <--4
9  <--5
9  <--7
10 <--1
10 <--2
10 <--3
10 <--4
10 <--6
10 <--9
11 <--1
11 <--2
11 <--4
11 <--5
11 <--7
11 <--8
11 <--9
11 <--10
12 <--3
12 <--5
12 <--9
12 <--10
13 <--1
13 <--2
13 <--3
13 <--4
13 <--6
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
13 <--12
14 <--1
14 <--2
14 <--4
14 <--5
14 <--9
14 <--10
14 <--12
14 <--13
E 63
#
