V 15
Workload
0   :0
1   :445
2   :329
3   :275
4   :200
5   :185
6   :356
7   :387
8   :114
9   :349
10  :293
11  :410
12  :58
13  :473
14  :0
Suclist
0  -->1
1  -->7
1  -->3
1  -->9
1  -->14
1  -->2
1  -->4
1  -->13
1  -->11
1  -->10
2  -->5
2  -->13
2  -->4
2  -->8
2  -->14
2  -->6
2  -->12
2  -->11
2  -->9
2  -->3
2  -->10
3  -->5
3  -->14
3  -->7
3  -->8
3  -->13
3  -->6
3  -->10
3  -->9
4  -->9
4  -->14
4  -->5
5  -->8
5  -->9
5  -->13
5  -->7
5  -->12
5  -->6
5  -->11
5  -->10
5  -->14
6  -->7
6  -->13
7  -->10
7  -->11
7  -->9
7  -->13
8  -->14
8  -->11
8  -->9
8  -->10
8  -->13
9  -->14
9  -->11
9  -->12
10 -->14
10 -->12
11 -->14
12 -->13
12 -->14
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--1
4  <--2
5  <--2
5  <--3
5  <--4
6  <--2
6  <--3
6  <--5
7  <--1
7  <--3
7  <--5
7  <--6
8  <--2
8  <--3
8  <--5
9  <--1
9  <--2
9  <--3
9  <--4
9  <--5
9  <--7
9  <--8
10 <--1
10 <--2
10 <--3
10 <--5
10 <--7
10 <--8
11 <--1
11 <--2
11 <--5
11 <--7
11 <--8
11 <--9
12 <--2
12 <--5
12 <--9
12 <--10
13 <--1
13 <--2
13 <--3
13 <--5
13 <--6
13 <--7
13 <--8
13 <--12
14 <--1
14 <--2
14 <--3
14 <--4
14 <--5
14 <--8
14 <--9
14 <--10
14 <--11
14 <--12
14 <--13
E 61
#
