V 15
Workload
0   :0
1   :390
2   :236
3   :151
4   :245
5   :17
6   :318
7   :132
8   :289
9   :262
10  :288
11  :296
12  :328
13  :7
14  :0
Suclist
0  -->1
1  -->13
1  -->8
1  -->6
1  -->2
1  -->9
1  -->14
2  -->4
2  -->7
2  -->11
2  -->13
2  -->14
2  -->6
2  -->10
2  -->9
2  -->5
2  -->3
2  -->8
2  -->12
3  -->9
3  -->6
3  -->5
3  -->7
3  -->14
3  -->10
3  -->8
3  -->12
3  -->13
3  -->4
4  -->13
4  -->7
4  -->5
4  -->9
5  -->12
6  -->10
6  -->14
6  -->7
6  -->8
6  -->12
6  -->9
7  -->12
7  -->14
7  -->9
7  -->11
7  -->10
8  -->11
8  -->9
8  -->14
8  -->10
8  -->12
9  -->12
9  -->10
9  -->14
10 -->12
10 -->11
11 -->14
11 -->13
11 -->12
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--2
4  <--2
4  <--3
5  <--2
5  <--3
5  <--4
6  <--1
6  <--2
6  <--3
7  <--2
7  <--3
7  <--4
7  <--6
8  <--1
8  <--2
8  <--3
8  <--6
9  <--1
9  <--2
9  <--3
9  <--4
9  <--6
9  <--7
9  <--8
10 <--2
10 <--3
10 <--6
10 <--7
10 <--8
10 <--9
11 <--2
11 <--7
11 <--8
11 <--10
12 <--2
12 <--3
12 <--5
12 <--6
12 <--7
12 <--8
12 <--9
12 <--10
12 <--11
13 <--1
13 <--2
13 <--3
13 <--4
13 <--11
13 <--12
14 <--1
14 <--2
14 <--3
14 <--6
14 <--7
14 <--8
14 <--9
14 <--11
14 <--13
E 60
#
