V 20
Workload
0   :0
1   :242
2   :429
3   :210
4   :435
5   :439
6   :287
7   :176
8   :242
9   :239
10  :396
11  :309
12  :55
13  :324
14  :151
15  :174
16  :386
17  :391
18  :420
19  :0
Suclist
0  -->1
1  -->11
1  -->2
1  -->6
1  -->17
1  -->4
1  -->14
1  -->8
2  -->12
2  -->3
2  -->4
2  -->13
2  -->11
2  -->9
2  -->7
2  -->6
2  -->18
2  -->16
2  -->14
2  -->10
2  -->8
2  -->15
2  -->5
3  -->17
3  -->11
3  -->13
3  -->9
3  -->4
3  -->12
4  -->8
4  -->6
5  -->13
6  -->13
6  -->12
6  -->16
6  -->14
6  -->8
6  -->18
7  -->13
7  -->17
7  -->16
7  -->8
7  -->14
7  -->9
7  -->18
7  -->11
7  -->10
7  -->19
8  -->14
8  -->12
8  -->16
8  -->18
8  -->9
8  -->10
8  -->11
8  -->15
8  -->13
8  -->19
8  -->17
9  -->12
9  -->18
9  -->19
9  -->17
10 -->12
10 -->11
11 -->12
11 -->18
12 -->17
12 -->16
12 -->18
13 -->15
14 -->16
14 -->19
15 -->18
15 -->16
15 -->19
15 -->17
16 -->18
17 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--1
3  <--2
4  <--1
4  <--2
4  <--3
5  <--2
6  <--1
6  <--2
6  <--4
7  <--2
8  <--1
8  <--2
8  <--4
8  <--6
8  <--7
9  <--2
9  <--3
9  <--7
9  <--8
10 <--2
10 <--7
10 <--8
11 <--1
11 <--2
11 <--3
11 <--7
11 <--8
11 <--10
12 <--2
12 <--3
12 <--6
12 <--8
12 <--9
12 <--10
12 <--11
13 <--2
13 <--3
13 <--5
13 <--6
13 <--7
13 <--8
14 <--1
14 <--2
14 <--6
14 <--7
14 <--8
15 <--2
15 <--8
15 <--13
16 <--2
16 <--6
16 <--7
16 <--8
16 <--12
16 <--14
16 <--15
17 <--1
17 <--3
17 <--7
17 <--8
17 <--9
17 <--12
17 <--15
18 <--2
18 <--6
18 <--7
18 <--8
18 <--9
18 <--11
18 <--12
18 <--15
18 <--16
18 <--17
19 <--7
19 <--8
19 <--9
19 <--14
19 <--15
19 <--17
19 <--18
E 81
#
