V 20
Workload
0   :0
1   :130
2   :354
3   :12
4   :202
5   :334
6   :140
7   :403
8   :128
9   :345
10  :447
11  :465
12  :155
13  :319
14  :248
15  :110
16  :322
17  :134
18  :325
19  :0
Suclist
0  -->1
0  -->2
1  -->14
2  -->9
2  -->4
2  -->7
2  -->14
2  -->3
2  -->19
2  -->15
2  -->13
2  -->11
2  -->5
2  -->6
3  -->8
3  -->13
3  -->10
4  -->16
4  -->6
4  -->11
4  -->15
4  -->13
5  -->17
5  -->6
5  -->16
5  -->8
5  -->15
6  -->14
6  -->15
6  -->10
6  -->17
6  -->19
6  -->9
6  -->16
6  -->11
6  -->8
6  -->13
6  -->7
6  -->12
7  -->15
7  -->9
7  -->16
7  -->12
7  -->14
7  -->13
7  -->17
7  -->18
8  -->16
9  -->17
9  -->15
9  -->10
9  -->12
9  -->16
9  -->18
10 -->16
10 -->14
10 -->19
10 -->13
10 -->12
11 -->12
11 -->17
11 -->13
12 -->19
12 -->13
12 -->18
12 -->16
12 -->17
12 -->15
13 -->16
13 -->18
13 -->14
13 -->19
14 -->18
14 -->15
14 -->16
14 -->17
15 -->16
16 -->19
17 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--0
3  <--2
4  <--2
5  <--2
6  <--2
6  <--4
6  <--5
7  <--2
7  <--6
8  <--3
8  <--5
8  <--6
9  <--2
9  <--6
9  <--7
10 <--3
10 <--6
10 <--9
11 <--2
11 <--4
11 <--6
12 <--6
12 <--7
12 <--9
12 <--10
12 <--11
13 <--2
13 <--3
13 <--4
13 <--6
13 <--7
13 <--10
13 <--11
13 <--12
14 <--1
14 <--2
14 <--6
14 <--7
14 <--10
14 <--13
15 <--2
15 <--4
15 <--5
15 <--6
15 <--7
15 <--9
15 <--12
15 <--14
16 <--4
16 <--5
16 <--6
16 <--7
16 <--8
16 <--9
16 <--10
16 <--12
16 <--13
16 <--14
16 <--15
17 <--5
17 <--6
17 <--7
17 <--9
17 <--11
17 <--12
17 <--14
18 <--7
18 <--9
18 <--12
18 <--13
18 <--14
18 <--17
19 <--2
19 <--6
19 <--10
19 <--12
19 <--13
19 <--16
19 <--17
19 <--18
E 81
#
