V 15
Workload
0   :0
1   :111
2   :329
3   :267
4   :385
5   :23
6   :258
7   :462
8   :225
9   :315
10  :155
11  :456
12  :98
13  :88
14  :0
Suclist
0  -->1
1  -->3
1  -->12
1  -->4
1  -->14
1  -->10
1  -->7
1  -->11
1  -->13
1  -->8
1  -->9
1  -->2
1  -->6
1  -->5
2  -->11
2  -->8
2  -->12
2  -->7
2  -->9
3  -->5
3  -->6
3  -->11
3  -->12
3  -->9
4  -->14
4  -->5
4  -->8
4  -->13
4  -->11
5  -->14
5  -->8
5  -->12
5  -->9
5  -->11
5  -->13
6  -->14
6  -->13
6  -->9
6  -->7
6  -->12
6  -->10
7  -->10
7  -->11
7  -->9
7  -->14
7  -->13
7  -->12
7  -->8
8  -->10
8  -->12
8  -->14
8  -->13
8  -->11
8  -->9
9  -->14
9  -->10
10 -->14
10 -->13
11 -->13
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
4  <--1
5  <--1
5  <--3
5  <--4
6  <--1
6  <--3
7  <--1
7  <--2
7  <--6
8  <--1
8  <--2
8  <--4
8  <--5
8  <--7
9  <--1
9  <--2
9  <--3
9  <--5
9  <--6
9  <--7
9  <--8
10 <--1
10 <--6
10 <--7
10 <--8
10 <--9
11 <--1
11 <--2
11 <--3
11 <--4
11 <--5
11 <--7
11 <--8
12 <--1
12 <--2
12 <--3
12 <--5
12 <--6
12 <--7
12 <--8
13 <--1
13 <--4
13 <--5
13 <--6
13 <--7
13 <--8
13 <--10
13 <--11
13 <--12
14 <--1
14 <--4
14 <--5
14 <--6
14 <--7
14 <--8
14 <--9
14 <--10
14 <--13
E 61
#
