V 20
Workload
0   :0
1   :151
2   :120
3   :486
4   :47
5   :371
6   :296
7   :42
8   :196
9   :208
10  :343
11  :342
12  :94
13  :67
14  :416
15  :334
16  :16
17  :25
18  :309
19  :0
Suclist
0  -->1
0  -->3
0  -->4
1  -->8
1  -->5
1  -->12
1  -->2
1  -->19
1  -->7
1  -->16
2  -->16
2  -->15
3  -->19
4  -->12
4  -->11
5  -->19
5  -->16
5  -->18
5  -->10
5  -->6
5  -->17
5  -->12
5  -->15
5  -->11
6  -->13
6  -->19
6  -->16
6  -->9
6  -->17
7  -->18
7  -->16
7  -->19
7  -->12
7  -->15
7  -->17
7  -->8
7  -->9
7  -->14
7  -->13
7  -->10
8  -->18
8  -->19
8  -->12
8  -->14
8  -->11
8  -->17
9  -->12
9  -->15
9  -->14
9  -->16
9  -->10
9  -->17
9  -->18
9  -->19
10 -->12
10 -->15
10 -->13
10 -->11
10 -->17
10 -->16
11 -->19
11 -->12
11 -->18
11 -->15
11 -->14
11 -->13
12 -->14
13 -->18
14 -->16
14 -->18
14 -->17
14 -->15
15 -->17
15 -->16
15 -->19
15 -->18
16 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--1
3  <--0
4  <--0
5  <--1
6  <--5
7  <--1
8  <--1
8  <--7
9  <--6
9  <--7
10 <--5
10 <--7
10 <--9
11 <--4
11 <--5
11 <--8
11 <--10
12 <--1
12 <--4
12 <--5
12 <--7
12 <--8
12 <--9
12 <--10
12 <--11
13 <--6
13 <--7
13 <--10
13 <--11
14 <--7
14 <--8
14 <--9
14 <--11
14 <--12
15 <--2
15 <--5
15 <--7
15 <--9
15 <--10
15 <--11
15 <--14
16 <--1
16 <--2
16 <--5
16 <--6
16 <--7
16 <--9
16 <--10
16 <--14
16 <--15
17 <--5
17 <--6
17 <--7
17 <--8
17 <--9
17 <--10
17 <--14
17 <--15
18 <--5
18 <--7
18 <--8
18 <--9
18 <--11
18 <--13
18 <--14
18 <--15
18 <--16
19 <--1
19 <--3
19 <--5
19 <--6
19 <--7
19 <--8
19 <--9
19 <--11
19 <--15
19 <--17
19 <--18
E 79
#
