V 20
Workload
0   :0
1   :182
2   :458
3   :209
4   :429
5   :167
6   :97
7   :455
8   :339
9   :158
10  :400
11  :113
12  :357
13  :91
14  :265
15  :148
16  :493
17  :234
18  :369
19  :0
Suclist
0  -->1
0  -->2
0  -->3
1  -->8
2  -->5
2  -->4
2  -->8
2  -->11
2  -->7
2  -->14
3  -->6
3  -->8
3  -->4
3  -->11
3  -->14
3  -->7
3  -->18
3  -->19
3  -->10
3  -->12
3  -->16
4  -->19
4  -->18
4  -->10
5  -->15
5  -->14
5  -->19
5  -->6
5  -->17
5  -->13
5  -->16
5  -->9
5  -->10
6  -->18
7  -->9
7  -->11
7  -->8
7  -->15
7  -->13
7  -->16
7  -->18
7  -->10
8  -->15
8  -->19
8  -->13
8  -->18
8  -->10
8  -->11
8  -->17
8  -->12
8  -->16
8  -->14
9  -->14
9  -->13
9  -->15
10 -->13
10 -->18
10 -->19
10 -->14
11 -->12
11 -->19
11 -->18
11 -->14
11 -->13
11 -->16
11 -->17
11 -->15
12 -->16
12 -->13
12 -->14
12 -->18
13 -->17
13 -->19
13 -->18
13 -->14
14 -->17
14 -->19
15 -->18
15 -->16
16 -->19
17 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--0
3  <--0
4  <--2
4  <--3
5  <--2
6  <--3
6  <--5
7  <--2
7  <--3
8  <--1
8  <--2
8  <--3
8  <--7
9  <--5
9  <--7
10 <--3
10 <--4
10 <--5
10 <--7
10 <--8
11 <--2
11 <--3
11 <--7
11 <--8
12 <--3
12 <--8
12 <--11
13 <--5
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
13 <--12
14 <--2
14 <--3
14 <--5
14 <--8
14 <--9
14 <--10
14 <--11
14 <--12
14 <--13
15 <--5
15 <--7
15 <--8
15 <--9
15 <--11
16 <--3
16 <--5
16 <--7
16 <--8
16 <--11
16 <--12
16 <--15
17 <--5
17 <--8
17 <--11
17 <--13
17 <--14
18 <--3
18 <--4
18 <--6
18 <--7
18 <--8
18 <--10
18 <--11
18 <--12
18 <--13
18 <--15
18 <--17
19 <--3
19 <--4
19 <--5
19 <--8
19 <--10
19 <--11
19 <--13
19 <--14
19 <--16
19 <--17
19 <--18
E 83
#
