V 25
Workload
0   :0
1   :92
2   :298
3   :114
4   :452
5   :316
6   :189
7   :173
8   :455
9   :26
10  :468
11  :264
12  :312
13  :314
14  :22
15  :172
16  :344
17  :232
18  :294
19  :28
20  :206
21  :476
22  :240
23  :245
24  :0
Suclist
0  -->1
0  -->3
1  -->2
1  -->19
1  -->11
1  -->9
2  -->22
2  -->19
2  -->4
3  -->13
3  -->15
3  -->16
3  -->5
3  -->22
3  -->20
3  -->4
3  -->17
3  -->12
3  -->14
3  -->18
3  -->7
3  -->19
3  -->11
3  -->9
4  -->23
4  -->14
4  -->24
4  -->20
4  -->8
4  -->6
4  -->13
4  -->7
4  -->22
4  -->19
4  -->21
4  -->16
4  -->10
4  -->12
4  -->5
4  -->11
4  -->17
4  -->15
4  -->9
4  -->18
5  -->23
5  -->13
5  -->18
5  -->6
5  -->22
5  -->10
5  -->20
5  -->15
5  -->11
5  -->7
5  -->9
5  -->16
5  -->12
5  -->17
6  -->22
6  -->14
6  -->21
6  -->19
6  -->16
6  -->7
6  -->18
6  -->23
6  -->12
6  -->8
6  -->11
6  -->9
6  -->10
6  -->15
6  -->24
7  -->17
7  -->24
7  -->15
7  -->13
7  -->11
7  -->18
7  -->14
7  -->21
7  -->20
7  -->22
7  -->9
7  -->10
7  -->12
7  -->19
7  -->16
7  -->8
8  -->24
8  -->22
8  -->13
8  -->19
8  -->14
8  -->11
8  -->16
8  -->20
8  -->23
8  -->12
9  -->23
9  -->17
9  -->10
9  -->12
9  -->21
9  -->15
9  -->24
9  -->16
9  -->18
9  -->20
9  -->19
9  -->13
9  -->11
9  -->14
10 -->21
10 -->23
10 -->17
10 -->11
10 -->13
10 -->18
10 -->16
10 -->22
10 -->24
10 -->15
10 -->20
10 -->14
10 -->19
10 -->12
11 -->21
11 -->14
11 -->18
11 -->17
11 -->24
11 -->16
12 -->20
12 -->17
12 -->14
12 -->13
12 -->18
12 -->15
12 -->19
12 -->24
12 -->22
12 -->23
12 -->21
12 -->16
13 -->24
13 -->17
13 -->14
13 -->20
13 -->16
13 -->15
13 -->19
13 -->23
13 -->21
14 -->16
14 -->15
14 -->20
14 -->23
14 -->18
14 -->24
14 -->17
14 -->21
14 -->22
14 -->19
15 -->17
15 -->18
15 -->20
15 -->24
15 -->19
16 -->17
16 -->19
16 -->22
16 -->21
16 -->23
16 -->18
16 -->24
16 -->20
17 -->24
17 -->21
17 -->18
17 -->19
18 -->21
18 -->22
18 -->23
18 -->24
19 -->20
19 -->21
20 -->24
20 -->22
20 -->21
21 -->23
21 -->24
21 -->22
22 -->24
23 -->24
Prelist
1  <--0
2  <--1
3  <--0
4  <--2
4  <--3
5  <--3
5  <--4
6  <--4
6  <--5
7  <--3
7  <--4
7  <--5
7  <--6
8  <--4
8  <--6
8  <--7
9  <--1
9  <--3
9  <--4
9  <--5
9  <--6
9  <--7
10 <--4
10 <--5
10 <--6
10 <--7
10 <--9
11 <--1
11 <--3
11 <--4
11 <--5
11 <--6
11 <--7
11 <--8
11 <--9
11 <--10
12 <--3
12 <--4
12 <--5
12 <--6
12 <--7
12 <--8
12 <--9
12 <--10
13 <--3
13 <--4
13 <--5
13 <--7
13 <--8
13 <--9
13 <--10
13 <--12
14 <--3
14 <--4
14 <--6
14 <--7
14 <--8
14 <--9
14 <--10
14 <--11
14 <--12
14 <--13
15 <--3
15 <--4
15 <--5
15 <--6
15 <--7
15 <--9
15 <--10
15 <--12
15 <--13
15 <--14
16 <--3
16 <--4
16 <--5
16 <--6
16 <--7
16 <--8
16 <--9
16 <--10
16 <--11
16 <--12
16 <--13
16 <--14
17 <--3
17 <--4
17 <--5
17 <--7
17 <--9
17 <--10
17 <--11
17 <--12
17 <--13
17 <--14
17 <--15
17 <--16
18 <--3
18 <--4
18 <--5
18 <--6
18 <--7
18 <--9
18 <--10
18 <--11
18 <--12
18 <--14
18 <--15
18 <--16
18 <--17
19 <--1
19 <--2
19 <--3
19 <--4
19 <--6
19 <--7
19 <--8
19 <--9
19 <--10
19 <--12
19 <--13
19 <--14
19 <--15
19 <--16
19 <--17
20 <--3
20 <--4
20 <--5
20 <--7
20 <--8
20 <--9
20 <--10
20 <--12
20 <--13
20 <--14
20 <--15
20 <--16
20 <--19
21 <--4
21 <--6
21 <--7
21 <--9
21 <--10
21 <--11
21 <--12
21 <--13
21 <--14
21 <--16
21 <--17
21 <--18
21 <--19
21 <--20
22 <--2
22 <--3
22 <--4
22 <--5
22 <--6
22 <--7
22 <--8
22 <--10
22 <--12
22 <--14
22 <--16
22 <--18
22 <--20
22 <--21
23 <--4
23 <--5
23 <--6
23 <--8
23 <--9
23 <--10
23 <--12
23 <--13
23 <--14
23 <--16
23 <--18
23 <--21
24 <--4
24 <--6
24 <--7
24 <--8
24 <--9
24 <--10
24 <--11
24 <--12
24 <--13
24 <--14
24 <--15
24 <--16
24 <--17
24 <--18
24 <--20
24 <--21
24 <--22
24 <--23
E 195
#
