V 15
Workload
0   :0
1   :111
2   :97
3   :310
4   :348
5   :205
6   :357
7   :477
8   :173
9   :100
10  :155
11  :44
12  :15
13  :299
14  :0
Suclist
0  -->1
1  -->11
1  -->7
1  -->4
1  -->5
1  -->6
1  -->13
1  -->10
1  -->3
1  -->9
1  -->12
1  -->8
1  -->2
2  -->11
2  -->4
2  -->10
2  -->9
2  -->13
2  -->12
2  -->3
3  -->5
3  -->4
3  -->13
3  -->9
3  -->10
4  -->6
4  -->7
4  -->14
4  -->11
4  -->12
4  -->9
4  -->8
4  -->10
4  -->13
4  -->5
5  -->9
5  -->8
5  -->14
5  -->6
5  -->11
6  -->11
6  -->13
6  -->10
6  -->12
6  -->14
6  -->7
6  -->8
7  -->10
7  -->14
7  -->8
7  -->12
7  -->11
7  -->13
8  -->10
9  -->10
9  -->13
9  -->11
9  -->12
10 -->11
11 -->13
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--1
4  <--2
4  <--3
5  <--1
5  <--3
5  <--4
6  <--1
6  <--4
6  <--5
7  <--1
7  <--4
7  <--6
8  <--1
8  <--4
8  <--5
8  <--6
8  <--7
9  <--1
9  <--2
9  <--3
9  <--4
9  <--5
10 <--1
10 <--2
10 <--3
10 <--4
10 <--6
10 <--7
10 <--8
10 <--9
11 <--1
11 <--2
11 <--4
11 <--5
11 <--6
11 <--7
11 <--9
11 <--10
12 <--1
12 <--2
12 <--4
12 <--6
12 <--7
12 <--9
13 <--1
13 <--2
13 <--3
13 <--4
13 <--6
13 <--7
13 <--9
13 <--11
13 <--12
14 <--4
14 <--5
14 <--6
14 <--7
14 <--13
E 62
#
