V 15
Workload
0   :0
1   :231
2   :471
3   :403
4   :19
5   :101
6   :292
7   :31
8   :255
9   :190
10  :244
11  :431
12  :12
13  :306
14  :0
Suclist
0  -->1
0  -->2
0  -->3
1  -->11
1  -->4
1  -->9
2  -->7
2  -->6
2  -->11
2  -->12
2  -->14
2  -->9
2  -->5
2  -->10
2  -->4
2  -->8
3  -->11
3  -->8
3  -->7
3  -->12
3  -->4
3  -->13
3  -->9
3  -->10
3  -->6
3  -->5
3  -->14
4  -->14
4  -->13
4  -->6
4  -->9
5  -->13
5  -->12
5  -->8
5  -->6
5  -->7
5  -->9
5  -->11
6  -->9
6  -->10
6  -->8
6  -->11
6  -->7
6  -->12
6  -->13
7  -->11
7  -->13
7  -->12
8  -->13
8  -->10
8  -->9
8  -->14
9  -->10
9  -->11
9  -->13
9  -->14
10 -->12
10 -->14
10 -->13
11 -->14
11 -->13
12 -->13
13 -->14
Prelist
1  <--0
2  <--0
3  <--0
4  <--1
4  <--2
4  <--3
5  <--2
5  <--3
6  <--2
6  <--3
6  <--4
6  <--5
7  <--2
7  <--3
7  <--5
7  <--6
8  <--2
8  <--3
8  <--5
8  <--6
9  <--1
9  <--2
9  <--3
9  <--4
9  <--5
9  <--6
9  <--8
10 <--2
10 <--3
10 <--6
10 <--8
10 <--9
11 <--1
11 <--2
11 <--3
11 <--5
11 <--6
11 <--7
11 <--9
12 <--2
12 <--3
12 <--5
12 <--6
12 <--7
12 <--10
13 <--3
13 <--4
13 <--5
13 <--6
13 <--7
13 <--8
13 <--9
13 <--10
13 <--11
13 <--12
14 <--2
14 <--3
14 <--4
14 <--8
14 <--9
14 <--10
14 <--11
14 <--13
E 63
#
