V 15
Workload
0   :0
1   :421
2   :240
3   :129
4   :417
5   :296
6   :315
7   :238
8   :226
9   :227
10  :349
11  :292
12  :406
13  :36
14  :0
Suclist
0  -->1
0  -->2
1  -->9
1  -->8
1  -->12
1  -->4
1  -->11
1  -->13
1  -->6
1  -->14
1  -->5
2  -->10
2  -->9
2  -->3
2  -->7
2  -->13
2  -->12
3  -->5
3  -->11
3  -->10
3  -->4
3  -->9
3  -->14
3  -->6
3  -->13
3  -->7
3  -->12
3  -->8
4  -->13
4  -->10
4  -->12
4  -->8
4  -->14
5  -->12
5  -->14
5  -->8
5  -->6
5  -->10
5  -->7
5  -->9
5  -->11
6  -->8
6  -->11
6  -->10
6  -->12
6  -->14
6  -->7
7  -->12
7  -->10
7  -->14
8  -->13
8  -->12
8  -->9
8  -->10
8  -->14
9  -->13
9  -->10
9  -->14
10 -->11
11 -->14
12 -->14
13 -->14
Prelist
1  <--0
2  <--0
3  <--2
4  <--1
4  <--3
5  <--1
5  <--3
6  <--1
6  <--3
6  <--5
7  <--2
7  <--3
7  <--5
7  <--6
8  <--1
8  <--3
8  <--4
8  <--5
8  <--6
9  <--1
9  <--2
9  <--3
9  <--5
9  <--8
10 <--2
10 <--3
10 <--4
10 <--5
10 <--6
10 <--7
10 <--8
10 <--9
11 <--1
11 <--3
11 <--5
11 <--6
11 <--10
12 <--1
12 <--2
12 <--3
12 <--4
12 <--5
12 <--6
12 <--7
12 <--8
13 <--1
13 <--2
13 <--3
13 <--4
13 <--8
13 <--9
14 <--1
14 <--3
14 <--4
14 <--5
14 <--6
14 <--7
14 <--8
14 <--9
14 <--11
14 <--12
14 <--13
E 62
#
