V 15
Workload
0   :0
1   :72
2   :34
3   :442
4   :18
5   :486
6   :279
7   :287
8   :208
9   :69
10  :59
11  :432
12  :75
13  :392
14  :0
Suclist
0  -->1
0  -->2
1  -->5
1  -->6
1  -->13
1  -->7
2  -->3
2  -->8
2  -->10
2  -->14
2  -->12
2  -->9
2  -->5
2  -->4
3  -->9
3  -->8
3  -->5
3  -->14
3  -->6
3  -->7
3  -->10
4  -->14
4  -->12
4  -->10
4  -->7
4  -->13
4  -->9
5  -->9
5  -->6
5  -->8
5  -->13
5  -->12
6  -->12
6  -->13
6  -->10
6  -->8
6  -->9
6  -->11
7  -->10
7  -->12
7  -->11
7  -->9
8  -->14
8  -->10
8  -->12
8  -->11
8  -->13
8  -->9
9  -->11
9  -->14
9  -->12
9  -->10
10 -->13
10 -->11
10 -->14
10 -->12
11 -->14
11 -->12
11 -->13
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--0
3  <--2
4  <--2
5  <--1
5  <--2
5  <--3
6  <--1
6  <--3
6  <--5
7  <--1
7  <--3
7  <--4
8  <--2
8  <--3
8  <--5
8  <--6
9  <--2
9  <--3
9  <--4
9  <--5
9  <--6
9  <--7
9  <--8
10 <--2
10 <--3
10 <--4
10 <--6
10 <--7
10 <--8
10 <--9
11 <--6
11 <--7
11 <--8
11 <--9
11 <--10
12 <--2
12 <--4
12 <--5
12 <--6
12 <--7
12 <--8
12 <--9
12 <--10
12 <--11
13 <--1
13 <--4
13 <--5
13 <--6
13 <--8
13 <--10
13 <--11
13 <--12
14 <--2
14 <--3
14 <--4
14 <--8
14 <--9
14 <--10
14 <--11
14 <--12
14 <--13
E 62
#
