V 15
Workload
0   :0
1   :356
2   :136
3   :31
4   :472
5   :98
6   :266
7   :23
8   :162
9   :413
10  :415
11  :228
12  :399
13  :84
14  :0
Suclist
0  -->1
1  -->11
1  -->5
1  -->14
1  -->6
1  -->3
1  -->2
1  -->13
1  -->9
1  -->8
2  -->4
2  -->7
2  -->10
2  -->8
2  -->13
2  -->5
2  -->3
3  -->7
3  -->5
3  -->4
3  -->6
3  -->13
3  -->10
3  -->12
3  -->9
3  -->11
3  -->14
3  -->8
4  -->6
4  -->7
4  -->12
5  -->13
5  -->14
5  -->6
5  -->8
5  -->10
5  -->9
5  -->12
5  -->7
6  -->12
6  -->13
7  -->9
7  -->12
7  -->8
7  -->10
7  -->14
7  -->13
7  -->11
8  -->13
8  -->12
8  -->9
8  -->14
8  -->10
9  -->11
9  -->12
9  -->14
10 -->13
11 -->14
11 -->13
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
3  <--2
4  <--2
4  <--3
5  <--1
5  <--2
5  <--3
6  <--1
6  <--3
6  <--4
6  <--5
7  <--2
7  <--3
7  <--4
7  <--5
8  <--1
8  <--2
8  <--3
8  <--5
8  <--7
9  <--1
9  <--3
9  <--5
9  <--7
9  <--8
10 <--2
10 <--3
10 <--5
10 <--7
10 <--8
11 <--1
11 <--3
11 <--7
11 <--9
12 <--3
12 <--4
12 <--5
12 <--6
12 <--7
12 <--8
12 <--9
13 <--1
13 <--2
13 <--3
13 <--5
13 <--6
13 <--7
13 <--8
13 <--10
13 <--11
13 <--12
14 <--1
14 <--3
14 <--5
14 <--7
14 <--8
14 <--9
14 <--11
14 <--13
E 61
#
