V 20
Workload
0   :0
1   :325
2   :372
3   :213
4   :161
5   :461
6   :219
7   :149
8   :312
9   :226
10  :399
11  :216
12  :365
13  :227
14  :181
15  :384
16  :394
17  :380
18  :102
19  :0
Suclist
0  -->1
0  -->3
1  -->5
1  -->2
1  -->4
1  -->9
1  -->19
1  -->8
2  -->17
2  -->10
2  -->7
2  -->18
2  -->6
3  -->6
3  -->18
4  -->19
4  -->16
4  -->17
5  -->18
5  -->13
5  -->12
5  -->8
5  -->14
5  -->16
5  -->17
5  -->10
5  -->6
5  -->11
5  -->19
5  -->15
5  -->7
5  -->9
6  -->14
6  -->7
6  -->13
6  -->9
6  -->17
6  -->16
6  -->19
6  -->12
6  -->18
6  -->8
6  -->10
7  -->11
7  -->16
7  -->10
7  -->12
7  -->18
7  -->14
7  -->19
7  -->17
8  -->16
8  -->13
8  -->9
8  -->14
8  -->11
8  -->18
9  -->14
9  -->19
10 -->19
10 -->17
10 -->11
10 -->15
10 -->12
10 -->18
10 -->13
10 -->16
11 -->19
12 -->16
12 -->14
12 -->19
13 -->14
13 -->18
13 -->17
14 -->19
14 -->16
14 -->18
15 -->17
15 -->16
16 -->19
17 -->18
18 -->19
Prelist
1  <--0
2  <--1
3  <--0
4  <--1
5  <--1
6  <--2
6  <--3
6  <--5
7  <--2
7  <--5
7  <--6
8  <--1
8  <--5
8  <--6
9  <--1
9  <--5
9  <--6
9  <--8
10 <--2
10 <--5
10 <--6
10 <--7
11 <--5
11 <--7
11 <--8
11 <--10
12 <--5
12 <--6
12 <--7
12 <--10
13 <--5
13 <--6
13 <--8
13 <--10
14 <--5
14 <--6
14 <--7
14 <--8
14 <--9
14 <--12
14 <--13
15 <--5
15 <--10
16 <--4
16 <--5
16 <--6
16 <--7
16 <--8
16 <--10
16 <--12
16 <--14
16 <--15
17 <--2
17 <--4
17 <--5
17 <--6
17 <--7
17 <--10
17 <--13
17 <--15
18 <--2
18 <--3
18 <--5
18 <--6
18 <--7
18 <--8
18 <--10
18 <--13
18 <--14
18 <--17
19 <--1
19 <--4
19 <--5
19 <--6
19 <--7
19 <--9
19 <--10
19 <--11
19 <--12
19 <--14
19 <--16
19 <--18
E 82
#
