V 25
Workload
0   :0
1   :69
2   :191
3   :66
4   :495
5   :250
6   :48
7   :57
8   :358
9   :125
10  :229
11  :329
12  :330
13  :317
14  :44
15  :117
16  :92
17  :65
18  :293
19  :62
20  :473
21  :37
22  :190
23  :328
24  :0
Suclist
0  -->1
1  -->24
1  -->7
1  -->3
1  -->16
1  -->23
1  -->22
1  -->18
1  -->17
1  -->10
1  -->2
1  -->21
1  -->12
1  -->6
1  -->8
1  -->9
1  -->5
1  -->14
2  -->6
2  -->4
2  -->12
2  -->7
2  -->5
2  -->9
2  -->11
2  -->14
3  -->12
3  -->18
3  -->10
3  -->4
3  -->23
3  -->7
3  -->14
3  -->22
3  -->19
3  -->5
3  -->15
3  -->8
3  -->9
3  -->16
3  -->24
3  -->17
4  -->20
4  -->19
4  -->24
4  -->18
4  -->8
5  -->16
5  -->8
5  -->17
5  -->15
5  -->10
5  -->11
5  -->23
5  -->14
5  -->22
5  -->24
5  -->12
5  -->9
5  -->20
5  -->21
6  -->20
6  -->7
6  -->13
6  -->8
6  -->14
6  -->10
6  -->11
6  -->16
6  -->22
6  -->12
6  -->21
6  -->9
6  -->17
6  -->24
6  -->23
7  -->8
7  -->22
7  -->11
7  -->23
7  -->13
7  -->21
7  -->15
7  -->18
7  -->17
7  -->9
7  -->12
7  -->24
7  -->16
7  -->20
7  -->10
7  -->19
8  -->16
8  -->18
8  -->10
8  -->9
8  -->13
8  -->19
8  -->11
8  -->14
8  -->23
8  -->24
8  -->20
8  -->22
9  -->12
9  -->11
9  -->18
9  -->15
9  -->19
9  -->24
9  -->14
10 -->14
10 -->20
10 -->22
10 -->24
10 -->15
10 -->19
10 -->13
10 -->18
10 -->17
10 -->12
10 -->11
11 -->22
11 -->21
11 -->17
11 -->24
11 -->18
11 -->23
11 -->16
11 -->19
11 -->15
11 -->20
11 -->12
11 -->13
12 -->21
12 -->20
13 -->23
13 -->20
14 -->21
14 -->22
14 -->19
14 -->18
15 -->18
15 -->21
15 -->16
15 -->19
16 -->17
16 -->24
16 -->21
17 -->24
17 -->21
17 -->23
17 -->18
17 -->22
18 -->21
18 -->22
18 -->20
18 -->19
18 -->23
18 -->24
19 -->24
19 -->22
20 -->22
20 -->23
20 -->21
20 -->24
21 -->24
21 -->23
22 -->23
22 -->24
23 -->24
Prelist
1  <--0
2  <--1
3  <--1
4  <--2
4  <--3
5  <--1
5  <--2
5  <--3
6  <--1
6  <--2
7  <--1
7  <--2
7  <--3
7  <--6
8  <--1
8  <--3
8  <--4
8  <--5
8  <--6
8  <--7
9  <--1
9  <--2
9  <--3
9  <--5
9  <--6
9  <--7
9  <--8
10 <--1
10 <--3
10 <--5
10 <--6
10 <--7
10 <--8
11 <--2
11 <--5
11 <--6
11 <--7
11 <--8
11 <--9
11 <--10
12 <--1
12 <--2
12 <--3
12 <--5
12 <--6
12 <--7
12 <--9
12 <--10
12 <--11
13 <--6
13 <--7
13 <--8
13 <--10
13 <--11
14 <--1
14 <--2
14 <--3
14 <--5
14 <--6
14 <--8
14 <--9
14 <--10
15 <--3
15 <--5
15 <--7
15 <--9
15 <--10
15 <--11
16 <--1
16 <--3
16 <--5
16 <--6
16 <--7
16 <--8
16 <--11
16 <--15
17 <--1
17 <--3
17 <--5
17 <--6
17 <--7
17 <--10
17 <--11
17 <--16
18 <--1
18 <--3
18 <--4
18 <--7
18 <--8
18 <--9
18 <--10
18 <--11
18 <--14
18 <--15
18 <--17
19 <--3
19 <--4
19 <--7
19 <--8
19 <--9
19 <--10
19 <--11
19 <--14
19 <--15
19 <--18
20 <--4
20 <--5
20 <--6
20 <--7
20 <--8
20 <--10
20 <--11
20 <--12
20 <--13
20 <--18
21 <--1
21 <--5
21 <--6
21 <--7
21 <--11
21 <--12
21 <--14
21 <--15
21 <--16
21 <--17
21 <--18
21 <--20
22 <--1
22 <--3
22 <--5
22 <--6
22 <--7
22 <--8
22 <--10
22 <--11
22 <--14
22 <--17
22 <--18
22 <--19
22 <--20
23 <--1
23 <--3
23 <--5
23 <--6
23 <--7
23 <--8
23 <--11
23 <--13
23 <--17
23 <--18
23 <--20
23 <--21
23 <--22
24 <--1
24 <--3
24 <--4
24 <--5
24 <--6
24 <--7
24 <--8
24 <--9
24 <--10
24 <--11
24 <--16
24 <--17
24 <--18
24 <--19
24 <--20
24 <--21
24 <--22
24 <--23
E 171
#
