V 15
Workload
0   :0
1   :241
2   :232
3   :189
4   :33
5   :124
6   :323
7   :354
8   :143
9   :56
10  :208
11  :267
12  :149
13  :159
14  :0
Suclist
0  -->1
1  -->14
1  -->3
1  -->11
1  -->8
1  -->6
1  -->12
1  -->10
1  -->9
1  -->4
1  -->2
1  -->5
1  -->13
1  -->7
2  -->14
2  -->11
2  -->13
3  -->11
3  -->13
3  -->6
3  -->5
3  -->14
3  -->12
3  -->8
3  -->9
3  -->4
4  -->14
4  -->5
5  -->9
5  -->7
5  -->13
5  -->6
5  -->10
6  -->8
6  -->10
6  -->14
6  -->12
6  -->9
6  -->11
6  -->7
6  -->13
7  -->11
7  -->8
7  -->13
7  -->14
7  -->12
7  -->10
8  -->12
9  -->10
9  -->14
9  -->11
10 -->13
10 -->12
10 -->14
10 -->11
11 -->13
11 -->12
12 -->14
12 -->13
13 -->14
Prelist
1  <--0
2  <--1
3  <--1
4  <--1
4  <--3
5  <--1
5  <--3
5  <--4
6  <--1
6  <--3
6  <--5
7  <--1
7  <--5
7  <--6
8  <--1
8  <--3
8  <--6
8  <--7
9  <--1
9  <--3
9  <--5
9  <--6
10 <--1
10 <--5
10 <--6
10 <--7
10 <--9
11 <--1
11 <--2
11 <--3
11 <--6
11 <--7
11 <--9
11 <--10
12 <--1
12 <--3
12 <--6
12 <--7
12 <--8
12 <--10
12 <--11
13 <--1
13 <--2
13 <--3
13 <--5
13 <--6
13 <--7
13 <--10
13 <--11
13 <--12
14 <--1
14 <--2
14 <--3
14 <--4
14 <--6
14 <--7
14 <--9
14 <--10
14 <--12
14 <--13
E 60
#
