V 15
Workload
0   :0
1   :69
2   :15
3   :75
4   :102
5   :141
6   :483
7   :251
8   :292
9   :316
10  :254
11  :187
12  :391
13  :168
14  :0
Suclist
0  -->1
0  -->2
1  -->9
1  -->3
1  -->13
2  -->6
2  -->7
2  -->14
2  -->4
2  -->11
2  -->8
2  -->5
2  -->13
2  -->12
2  -->9
2  -->3
2  -->10
3  -->13
3  -->8
3  -->5
3  -->7
3  -->9
3  -->14
3  -->10
3  -->4
3  -->6
3  -->12
4  -->12
4  -->13
4  -->7
5  -->14
5  -->8
5  -->13
5  -->12
5  -->9
6  -->12
6  -->11
6  -->8
6  -->7
6  -->9
6  -->10
6  -->14
6  -->13
7  -->10
7  -->11
8  -->9
8  -->13
8  -->12
9  -->10
9  -->13
9  -->14
9  -->12
9  -->11
10 -->13
10 -->12
11 -->13
12 -->13
12 -->14
13 -->14
Prelist
1  <--0
2  <--0
3  <--1
3  <--2
4  <--2
4  <--3
5  <--2
5  <--3
6  <--2
6  <--3
7  <--2
7  <--3
7  <--4
7  <--6
8  <--2
8  <--3
8  <--5
8  <--6
9  <--1
9  <--2
9  <--3
9  <--5
9  <--6
9  <--8
10 <--2
10 <--3
10 <--6
10 <--7
10 <--9
11 <--2
11 <--6
11 <--7
11 <--9
12 <--2
12 <--3
12 <--4
12 <--5
12 <--6
12 <--8
12 <--9
12 <--10
13 <--1
13 <--2
13 <--3
13 <--4
13 <--5
13 <--6
13 <--8
13 <--9
13 <--10
13 <--11
13 <--12
14 <--2
14 <--3
14 <--5
14 <--6
14 <--9
14 <--12
14 <--13
E 59
#
