V 20
Workload
0   :0
1   :37
2   :302
3   :106
4   :450
5   :75
6   :416
7   :264
8   :167
9   :19
10  :373
11  :355
12  :480
13  :192
14  :372
15  :13
16  :420
17  :439
18  :218
19  :0
Suclist
0  -->1
0  -->2
1  -->6
1  -->16
1  -->4
1  -->3
1  -->10
1  -->13
1  -->19
1  -->14
1  -->7
1  -->11
2  -->11
2  -->5
2  -->7
3  -->17
3  -->18
3  -->8
3  -->14
4  -->10
4  -->12
4  -->19
4  -->14
4  -->9
4  -->6
4  -->8
4  -->16
4  -->17
4  -->5
4  -->18
5  -->13
5  -->10
5  -->14
5  -->9
5  -->11
5  -->12
5  -->7
5  -->15
5  -->8
5  -->16
5  -->19
5  -->6
5  -->18
5  -->17
6  -->16
6  -->18
6  -->13
6  -->12
6  -->17
6  -->10
6  -->8
7  -->17
7  -->9
7  -->12
8  -->15
9  -->13
10 -->19
10 -->14
10 -->13
10 -->17
10 -->15
10 -->12
11 -->19
11 -->16
11 -->12
11 -->13
12 -->14
12 -->17
12 -->13
12 -->19
13 -->14
13 -->19
13 -->17
14 -->18
14 -->16
14 -->15
14 -->19
14 -->17
15 -->18
16 -->17
16 -->19
16 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--0
3  <--1
4  <--1
5  <--2
5  <--4
6  <--1
6  <--4
6  <--5
7  <--1
7  <--2
7  <--5
8  <--3
8  <--4
8  <--5
8  <--6
9  <--4
9  <--5
9  <--7
10 <--1
10 <--4
10 <--5
10 <--6
11 <--1
11 <--2
11 <--5
12 <--4
12 <--5
12 <--6
12 <--7
12 <--10
12 <--11
13 <--1
13 <--5
13 <--6
13 <--9
13 <--10
13 <--11
13 <--12
14 <--1
14 <--3
14 <--4
14 <--5
14 <--10
14 <--12
14 <--13
15 <--5
15 <--8
15 <--10
15 <--14
16 <--1
16 <--4
16 <--5
16 <--6
16 <--11
16 <--14
17 <--3
17 <--4
17 <--5
17 <--6
17 <--7
17 <--10
17 <--12
17 <--13
17 <--14
17 <--16
18 <--3
18 <--4
18 <--5
18 <--6
18 <--14
18 <--15
18 <--16
19 <--1
19 <--4
19 <--5
19 <--10
19 <--11
19 <--12
19 <--13
19 <--14
19 <--16
19 <--17
19 <--18
E 84
#
