V 20
Workload
0   :0
1   :340
2   :5
3   :132
4   :372
5   :101
6   :419
7   :332
8   :222
9   :95
10  :499
11  :497
12  :27
13  :191
14  :150
15  :334
16  :70
17  :127
18  :225
19  :0
Suclist
0  -->1
0  -->3
0  -->4
1  -->7
1  -->19
1  -->15
1  -->17
1  -->2
2  -->15
2  -->16
2  -->8
2  -->13
2  -->6
2  -->17
3  -->19
3  -->12
3  -->17
3  -->9
4  -->12
4  -->17
4  -->6
4  -->5
4  -->15
5  -->9
5  -->18
5  -->12
5  -->19
5  -->8
5  -->11
6  -->18
6  -->15
6  -->12
6  -->17
6  -->14
6  -->19
6  -->9
6  -->16
6  -->10
7  -->8
8  -->14
8  -->19
8  -->16
8  -->12
8  -->10
8  -->11
8  -->9
9  -->13
9  -->17
9  -->18
9  -->16
9  -->10
9  -->19
9  -->14
9  -->12
9  -->11
9  -->15
10 -->14
10 -->16
10 -->15
10 -->19
11 -->14
11 -->15
11 -->19
11 -->12
11 -->18
11 -->17
11 -->16
11 -->13
12 -->19
12 -->16
13 -->18
13 -->16
14 -->17
14 -->18
14 -->16
15 -->16
15 -->19
15 -->18
16 -->18
16 -->19
17 -->18
17 -->19
18 -->19
Prelist
1  <--0
2  <--1
3  <--0
4  <--0
5  <--4
6  <--2
6  <--4
7  <--1
8  <--2
8  <--5
8  <--7
9  <--3
9  <--5
9  <--6
9  <--8
10 <--6
10 <--8
10 <--9
11 <--5
11 <--8
11 <--9
12 <--3
12 <--4
12 <--5
12 <--6
12 <--8
12 <--9
12 <--11
13 <--2
13 <--9
13 <--11
14 <--6
14 <--8
14 <--9
14 <--10
14 <--11
15 <--1
15 <--2
15 <--4
15 <--6
15 <--9
15 <--10
15 <--11
16 <--2
16 <--6
16 <--8
16 <--9
16 <--10
16 <--11
16 <--12
16 <--13
16 <--14
16 <--15
17 <--1
17 <--2
17 <--3
17 <--4
17 <--6
17 <--9
17 <--11
17 <--14
18 <--5
18 <--6
18 <--9
18 <--11
18 <--13
18 <--14
18 <--15
18 <--16
18 <--17
19 <--1
19 <--3
19 <--5
19 <--6
19 <--8
19 <--9
19 <--10
19 <--11
19 <--12
19 <--15
19 <--16
19 <--17
19 <--18
E 83
#
