V 20
Workload
0   :0
1   :240
2   :28
3   :438
4   :143
5   :29
6   :348
7   :113
8   :295
9   :359
10  :208
11  :181
12  :153
13  :353
14  :198
15  :336
16  :237
17  :242
18  :125
19  :0
Suclist
0  -->1
1  -->13
1  -->19
1  -->5
1  -->8
1  -->12
1  -->6
1  -->16
1  -->10
1  -->3
1  -->9
1  -->11
1  -->2
1  -->14
1  -->18
1  -->15
2  -->19
2  -->10
2  -->11
2  -->9
2  -->6
3  -->12
3  -->10
3  -->11
3  -->6
3  -->4
4  -->18
4  -->17
4  -->15
4  -->11
4  -->13
4  -->10
4  -->19
4  -->12
4  -->9
4  -->5
4  -->8
4  -->14
5  -->19
5  -->17
5  -->15
6  -->9
6  -->13
6  -->16
6  -->17
6  -->14
6  -->18
6  -->15
6  -->11
6  -->7
7  -->8
7  -->15
7  -->10
8  -->16
8  -->18
8  -->14
8  -->10
8  -->15
8  -->12
9  -->17
10 -->12
10 -->19
11 -->14
11 -->12
12 -->14
12 -->16
12 -->13
12 -->17
12 -->19
13 -->19
14 -->16
14 -->15
14 -->18
14 -->17
14 -->19
15 -->17
16 -->19
16 -->17
17 -->18
18 -->19
Prelist
1  <--0
2  <--1
3  <--1
4  <--3
5  <--1
5  <--4
6  <--1
6  <--2
6  <--3
7  <--6
8  <--1
8  <--4
8  <--7
9  <--1
9  <--2
9  <--4
9  <--6
10 <--1
10 <--2
10 <--3
10 <--4
10 <--7
10 <--8
11 <--1
11 <--2
11 <--3
11 <--4
11 <--6
12 <--1
12 <--3
12 <--4
12 <--8
12 <--10
12 <--11
13 <--1
13 <--4
13 <--6
13 <--12
14 <--1
14 <--4
14 <--6
14 <--8
14 <--11
14 <--12
15 <--1
15 <--4
15 <--5
15 <--6
15 <--7
15 <--8
15 <--14
16 <--1
16 <--6
16 <--8
16 <--12
16 <--14
17 <--4
17 <--5
17 <--6
17 <--9
17 <--12
17 <--14
17 <--15
17 <--16
18 <--1
18 <--4
18 <--6
18 <--8
18 <--14
18 <--17
19 <--1
19 <--2
19 <--4
19 <--5
19 <--10
19 <--12
19 <--13
19 <--14
19 <--16
19 <--18
E 80
#
