V 15
Workload
0   :0
1   :128
2   :472
3   :123
4   :101
5   :426
6   :187
7   :76
8   :268
9   :343
10  :176
11  :285
12  :390
13  :433
14  :0
Suclist
0  -->1
0  -->2
0  -->3
1  -->11
1  -->12
1  -->4
1  -->5
1  -->9
2  -->7
2  -->11
2  -->12
2  -->9
2  -->5
3  -->12
3  -->6
3  -->10
3  -->11
3  -->9
3  -->5
3  -->4
3  -->7
3  -->13
4  -->6
4  -->13
4  -->8
4  -->11
4  -->14
4  -->10
4  -->7
5  -->7
5  -->11
5  -->10
5  -->14
5  -->13
5  -->9
5  -->8
6  -->12
6  -->13
6  -->8
6  -->9
7  -->8
7  -->14
7  -->11
7  -->9
7  -->12
7  -->13
8  -->13
8  -->12
8  -->11
9  -->12
9  -->13
9  -->14
9  -->11
10 -->14
10 -->11
11 -->14
11 -->13
11 -->12
12 -->13
13 -->14
Prelist
1  <--0
2  <--0
3  <--0
4  <--1
4  <--3
5  <--1
5  <--2
5  <--3
6  <--3
6  <--4
7  <--2
7  <--3
7  <--4
7  <--5
8  <--4
8  <--5
8  <--6
8  <--7
9  <--1
9  <--2
9  <--3
9  <--5
9  <--6
9  <--7
10 <--3
10 <--4
10 <--5
11 <--1
11 <--2
11 <--3
11 <--4
11 <--5
11 <--7
11 <--8
11 <--9
11 <--10
12 <--1
12 <--2
12 <--3
12 <--6
12 <--7
12 <--8
12 <--9
12 <--11
13 <--3
13 <--4
13 <--5
13 <--6
13 <--7
13 <--8
13 <--9
13 <--11
13 <--12
14 <--4
14 <--5
14 <--7
14 <--9
14 <--10
14 <--11
14 <--13
E 60
#
