cost        CG2        HBCS        ScaleStar        OPT
1        56.51        56.26        54.94        49.81
2        42.82        56.26        54.94        41.88
3        42.13        41.88        40.56        40.56
4        42.13        41.88        40.56        40.56
5        41.2        41.88        40.56        40.56
6        41.2        56.26        40.56        38.86
7        41.2        56.26        40.56        31.86
8        30.24        30.93        40.56        29.85
9        30.24        30.93        40.56        29.61
10        30.24        30.93        40.56        29.61
11        30.24        30.93        40.56        29.61
12        29.61        29.61        40.56        29.61
13        29.61        29.61        40.56        29.61
14        29.61        29.61        40.56        29.61
15        29.61        29.61        40.56        29.61
16        29.61        29.61        40.56        29.61
17        29.61        29.61        40.56        29.61
18        29.61        29.61        40.56        29.61
19        29.61        29.61        40.56        29.61
20        29.61        29.61        40.56        29.61
