cost        CG2        HBCS        ScaleStar
1        5893.09        7596.49        5679.52
2        4526.71        6340.19        4532.88
3        3564.09        5317.21        3580.66
4        3151.84        4206.69        3151.63
5        2833.69        2921.45        2836.49
6        2634.12        2653.95        2751.49
7        2474.14        2555.76        2751.49
8        2356.54        2458.58        2751.49
9        2261.39        2356.27        2751.49
10        2183.05        2336.15        2751.49
11        2118.83        2308.89        2751.49
12        2063.57        2294.4        2751.49
13        2019.39        2260.22        2751.49
14        1976.4        2230.55        2751.49
15        1943.47        2218.97        2751.49
16        1909.85        2189.81        2751.49
17        1883.07        2147.09        2751.49
18        1857.31        2140.97        2751.49
19        1835.68        2129.05        2751.49
20        1815.47        1815.47        2751.49
