cost        CG2        HBCS        ScaleStar
2        5167.51        6697.94        4940.78
3        3907.39        5475.99        3909.09
4        3086.07        4775.1        3102.65
5        2717.25        3747.02        2720.15
6        2459.73        2502.59        2444.08
7        2270.22        2304.49        2369.14
8        2138.98        2184.36        2369.14
9        2030.78        2122.6        2369.14
10        1952.01        2045.61        2369.14
11        1882.75        2005.72        2369.14
12        1830.46        1989.99        2369.14
13        1778.41        1971.49        2369.14
14        1740.87        1942.61        2369.14
15        1703.31        1937.33        2369.14
16        1674.2        1906.72        2369.14
17        1646.29        1883.36        2369.14
18        1624.1        1871.24        2369.14
19        1600.89        1851.52        2369.14
20        1582.39        1830.32        2369.14
21        1564.45        1564.45        2369.14
